#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
187	 0 	 H2 	 H2 	 1.199021339690097e-06 	 1.199021339690097e-06
187	 16 	 CH2 	 CH2 	 0.002597806788413802 	 0.002597806788413802
187	 2 	 FLi 	 LiF 	 0.007129601712307301 	 0.007129601712307301
187	 12 	 HN 	 NH 	 0.0009432297267384189 	 0.0009432297267384189
187	 14 	 N2O 	 N2O 	 0.0037510021451938208 	 0.0037510021451938208
187	 3 	 CHN 	 CNH 	 0.0036296834312829025 	 0.0036296834312829025
187	 13 	 O3 	 O3 	 0.003701402821687765 	 0.003701402821687765
187	 15 	 CH3 	 CH3 	 1.0095917201707052e-07 	 1.0095917201707052e-07
187	 7 	 CO 	 OC 	 0.000360842724312297 	 0.000360842724312297
188	 24 	 C 	 C 	 3.638324360908177e-05 	 3.638324360908177e-05
188	 19 	 HO 	 OH 	 1.3378882082142784e-05 	 1.3378882082142784e-05
188	 2 	 FLi 	 LiF 	 0.0071238838407367885 	 0.0071238838407367885
188	 9 	 Na2 	 Na2 	 1.464061085117129e-06 	 1.464061085117129e-06
188	 20 	 CH 	 CH 	 2.735100165010086e-07 	 2.735100165010086e-07
188	 5 	 F2 	 F2 	 0.00020292381831820636 	 0.00020292381831820636
188	 4 	 CO2 	 CO2 	 0.007607269782819216 	 0.007607269782819216
188	 10 	 NO 	 NO 	 8.674336862531451e-05 	 8.674336862531451e-05
188	 14 	 N2O 	 N2O 	 0.003748005255712161 	 0.003748005255712161
188	 25 	 Li 	 Li 	 3.767449779463816e-05 	 3.767449779463816e-05
188	 6 	 C2H2 	 C2H2 	 0.00013770741838268067 	 0.00013770741838268067
188	 3 	 CHN 	 CNH 	 0.0036336034184947207 	 0.0036336034184947207
188	 1 	 N2 	 N2 	 5.340863453309955e-06 	 5.340863453309955e-06
188	 11 	 NO2 	 NO2 	 0.004586282055995781 	 0.004586282055995781
188	 0 	 H2 	 H2 	 1.6461136135442211e-06 	 1.6461136135442211e-06
188	 22 	 CH4O 	 CH4O 	 0.00023542871250959354 	 0.00023542871250959354
188	 18 	 H3N 	 NH3 	 0.00037987690461335934 	 0.00037987690461335934
188	 8 	 HLi 	 LiH 	 2.1589675486945027e-06 	 2.1589675486945027e-06
188	 17 	 H2O 	 OH2 	 0.000225706159919726 	 0.000225706159919726
188	 7 	 CO 	 OC 	 0.000361070525917442 	 0.000361070525917442
188	 16 	 CH2 	 CH2 	 0.002597643321041405 	 0.002597643321041405
188	 13 	 O3 	 O3 	 0.003700674876581712 	 0.003700674876581712
188	 23 	 HF2 	 HF2 	 0.0026866434303829197 	 0.0026866434303829197
188	 21 	 HN2O 	 HON2 	 0.004077092561541836 	 0.004077092561541836
188	 12 	 HN 	 NH 	 0.0009427860252988385 	 0.0009427860252988385
188	 15 	 CH3 	 CH3 	 9.444617130864869e-08 	 9.444617130864869e-08
189	 11 	 NO2 	 NO2 	 0.00458671357759355 	 0.00458671357759355
189	 5 	 F2 	 F2 	 0.00020278503030654672 	 0.00020278503030654672
