#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
314	 6 	 C2H2 	 C2H2 	 0.04600321672057845 	 0.04600321672057845
314	 20 	 CH 	 CH 	 3.9518068495462854e-07 	 3.9518068495462854e-07
314	 19 	 HO 	 OH 	 4.5071252979903594e-07 	 4.5071252979903594e-07
314	 22 	 CH4O 	 CH4O 	 0.00030438511877098746 	 0.00030438511877098746
314	 8 	 HLi 	 LiH 	 1.7863050068150555e-05 	 1.7863050068150555e-05
314	 21 	 HN2O 	 HON2 	 0.006978519842181872 	 0.006978519842181872
314	 0 	 H2 	 H2 	 1.1645301805144882e-05 	 1.1645301805144882e-05
314	 16 	 CH2 	 CH2 	 0.004802623092811459 	 0.004802623092811459
314	 1 	 N2 	 N2 	 0.00021199290751963825 	 0.00021199290751963825
314	 24 	 C 	 C 	 1.3255574785264507e-05 	 1.3255574785264507e-05
314	 5 	 F2 	 F2 	 0.0003789387527365032 	 0.0003789387527365032
315	 0 	 H2 	 H2 	 1.0960267228772644e-05 	 1.0960267228772644e-05
315	 25 	 Li 	 Li 	 4.086034464684354e-05 	 4.086034464684354e-05
315	 17 	 H2O 	 OH2 	 1.675149692448276e-06 	 1.675149692448276e-06
315	 1 	 N2 	 N2 	 0.000211968259089172 	 0.000211968259089172
315	 3 	 CHN 	 CNH 	 0.0019481173704779954 	 0.0019481173704779954
315	 5 	 F2 	 F2 	 0.00037885509472234796 	 0.00037885509472234796
315	 11 	 NO2 	 NO2 	 0.016662098512222365 	 0.016662098512222365
315	 13 	 O3 	 O3 	 0.017581062494107118 	 0.017581062494107118
315	 9 	 Na2 	 Na2 	 1.9028665821635882e-08 	 1.9028665821635882e-08
315	 10 	 NO 	 NO 	 0.0005290859724720591 	 0.0005290859724720591
315	 23 	 HF2 	 HF2 	 0.0027834598723388013 	 0.0027834598723388013
315	 8 	 HLi 	 LiH 	 1.8021804545107113e-05 	 1.8021804545107113e-05
315	 12 	 HN 	 NH 	 0.0017707455954086716 	 0.0017707455954086716
315	 16 	 CH2 	 CH2 	 0.00480256425970648 	 0.00480256425970648
315	 15 	 CH3 	 CH3 	 0.0001914508515688759 	 0.0001914508515688759
315	 18 	 H3N 	 NH3 	 0.0006045649584230432 	 0.0006045649584230432
315	 19 	 HO 	 OH 	 4.523949793954946e-07 	 4.523949793954946e-07
315	 22 	 CH4O 	 CH4O 	 0.0003043839678581516 	 0.0003043839678581516
315	 14 	 N2O 	 N2O 	 0.014615745308038688 	 0.014615745308038688
315	 2 	 FLi 	 LiF 	 0.006074601278160614 	 0.006074601278160614
315	 24 	 C 	 C 	 1.3146487630551275e-05 	 1.3146487630551275e-05
315	 20 	 CH 	 CH 	 3.9096214143756995e-07 	 3.9096214143756995e-07
315	 7 	 CO 	 OC 	 2.399740119131827e-05 	 2.399740119131827e-05
315	 4 	 CO2 	 CO2 	 0.002238852609825843 	 0.002238852609825843
315	 6 	 C2H2 	 C2H2 	 0.02794903314325446 	 0.02794903314325446
