#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
237	 21 	 HN2O 	 HON2 	 0.006988738930146054 	 0.006988738930146054
237	 5 	 F2 	 F2 	 0.00037886688492737606 	 0.00037886688492737606
237	 9 	 Na2 	 Na2 	 2.002515198796669e-08 	 2.002515198796669e-08
237	 12 	 HN 	 NH 	 0.0017724492254666516 	 0.0017724492254666516
237	 23 	 HF2 	 HF2 	 0.002786020440461325 	 0.002786020440461325
237	 17 	 H2O 	 OH2 	 2.95395063098326e-07 	 2.95395063098326e-07
237	 13 	 O3 	 O3 	 0.01759420155133216 	 0.01759420155133216
237	 1 	 N2 	 N2 	 0.00021241189684103007 	 0.00021241189684103007
237	 6 	 C2H2 	 C2H2 	 0.03721050767244659 	 0.03721050767244659
238	 8 	 HLi 	 LiH 	 1.800783008153139e-05 	 1.800783008153139e-05
238	 24 	 C 	 C 	 1.323061696738906e-05 	 1.323061696738906e-05
238	 2 	 FLi 	 LiF 	 0.006073894240191202 	 0.006073894240191202
238	 12 	 HN 	 NH 	 0.0017720764539532123 	 0.0017720764539532123
238	 3 	 CHN 	 CNH 	 0.001949511449076387 	 0.001949511449076387
238	 13 	 O3 	 O3 	 0.017591918903087627 	 0.017591918903087627
238	 19 	 HO 	 OH 	 1.0634926677135925e-06 	 1.0634926677135925e-06
238	 22 	 CH4O 	 CH4O 	 0.00030499938011369966 	 0.00030499938011369966
238	 10 	 NO 	 NO 	 0.0005463590408731756 	 0.0005463590408731756
238	 20 	 CH 	 CH 	 4.012469680234599e-07 	 4.012469680234599e-07
238	 16 	 CH2 	 CH2 	 0.004805501811175557 	 0.004805501811175557
238	 21 	 HN2O 	 HON2 	 0.0069865076449546785 	 0.0069865076449546785
238	 14 	 N2O 	 N2O 	 0.014626589263222715 	 0.014626589263222715
238	 9 	 Na2 	 Na2 	 1.86197462175108e-08 	 1.86197462175108e-08
238	 4 	 CO2 	 CO2 	 0.0022351097614628263 	 0.0022351097614628263
238	 17 	 H2O 	 OH2 	 1.6155312597392914e-06 	 1.6155312597392914e-06
238	 6 	 C2H2 	 C2H2 	 0.04154640422619954 	 0.04154640422619954
238	 25 	 Li 	 Li 	 4.2472340587212685e-05 	 4.2472340587212685e-05
238	 0 	 H2 	 H2 	 1.2989891362106993e-05 	 1.2989891362106993e-05
238	 7 	 CO 	 OC 	 2.7567493998907758e-05 	 2.7567493998907758e-05
238	 5 	 F2 	 F2 	 0.0003789570568689402 	 0.0003789570568689402
238	 18 	 H3N 	 NH3 	 0.0006036404271740935 	 0.0006036404271740935
238	 23 	 HF2 	 HF2 	 0.0027851727540617517 	 0.0027851727540617517
238	 15 	 CH3 	 CH3 	 0.00019126944675289888 	 0.00019126944675289888
238	 1 	 N2 	 N2 	 0.00021119673390043313 	 0.00021119673390043313
238	 11 	 NO2 	 NO2 	 0.01666989480203977 	 0.01666989480203977
239	 14 	 N2O 	 N2O 	 0.014625430775665287 	 0.014625430775665287
239	 3 	 CHN 	 CNH 	 0.0019538282990287773 	 0.0019538282990287773
239	 7 	 CO 	 OC 	 2.4009227381943786e-05 	 2.4009227381943786e-05
239	 25 	 Li 	 Li 	 4.1393777333885704e-05 	 4.1393777333885704e-05
239	 24 	 C 	 C 	 1.3129511854133904e-05 	 1.3129511854133904e-05
239	 20 	 CH 	 CH 	 3.926936780927348e-07 	 3.926936780927348e-07
239	 5 	 F2 	 F2 	 0.0003787959253056095 	 0.0003787959253056095
239	 1 	 N2 	 N2 	 0.00021210048982243248 	 0.00021210048982243248
239	 22 	 CH4O 	 CH4O 	 0.00030481348498793916 	 0.00030481348498793916
239	 11 	 NO2 	 NO2 	 0.0166714645542121 	 0.0166714645542121
239	 8 	 HLi 	 LiH 	 1.7971234031730076e-05 	 1.7971234031730076e-05
239	 6 	 C2H2 	 C2H2 	 0.03484149301312224 	 0.03484149301312224
239	 4 	 CO2 	 CO2 	 0.002238288894970983 	 0.002238288894970983
239	 17 	 H2O 	 OH2 	 1.6620152268622354e-06 	 1.6620152268622354e-06
239	 0 	 H2 	 H2 	 1.2628355134669778e-05 	 1.2628355134669778e-05
239	 19 	 HO 	 OH 	 4.542056186527738e-07 	 4.542056186527738e-07
239	 16 	 CH2 	 CH2 	 0.004803091220288895 	 0.004803091220288895
239	 10 	 NO 	 NO 	 0.000529872604276352 	 0.000529872604276352
239	 12 	 HN 	 NH 	 0.0017715082525828468 	 0.0017715082525828468
239	 23 	 HF2 	 HF2 	 0.002784708855412115 	 0.002784708855412115
239	 15 	 CH3 	 CH3 	 0.0001915376819281174 	 0.0001915376819281174
239	 21 	 HN2O 	 HON2 	 0.006983260074700364 	 0.006983260074700364
239	 9 	 Na2 	 Na2 	 1.81499195793384e-08 	 1.81499195793384e-08
239	 13 	 O3 	 O3 	 0.01758800655567421 	 0.01758800655567421
239	 2 	 FLi 	 LiF 	 0.006076129702654162 	 0.006076129702654162
239	 18 	 H3N 	 NH3 	 0.0006040460101414106 	 0.0006040460101414106
240	 25 	 Li 	 Li 	 4.276165528315564e-05 	 4.276165528315564e-05
240	 23 	 HF2 	 HF2 	 0.002784582984515913 	 0.002784582984515913
240	 12 	 HN 	 NH 	 0.001772027920925853 	 0.001772027920925853
240	 20 	 CH 	 CH 	 3.9171259747207317e-07 	 3.9171259747207317e-07
240	 2 	 FLi 	 LiF 	 0.006077387363669105 	 0.006077387363669105
240	 11 	 NO2 	 NO2 	 0.017051658294736222 	 0.017051658294736222
240	 7 	 CO 	 OC 	 2.4035238606845758e-05 	 2.4035238606845758e-05
240	 22 	 CH4O 	 CH4O 	 0.000304675912039553 	 0.000304675912039553
240	 0 	 H2 	 H2 	 1.278356852808036e-05 	 1.278356852808036e-05
240	 18 	 H3N 	 NH3 	 0.000604657014099482 	 0.000604657014099482
240	 15 	 CH3 	 CH3 	 0.00019115669474055165 	 0.00019115669474055165
240	 9 	 Na2 	 Na2 	 1.8045332188111225e-08 	 1.8045332188111225e-08
240	 3 	 CHN 	 CNH 	 0.001952543182429018 	 0.001952543182429018
240	 13 	 O3 	 O3 	 0.017587521243050214 	 0.017587521243050214
240	 19 	 HO 	 OH 	 4.554771825284208e-07 	 4.554771825284208e-07
240	 8 	 HLi 	 LiH 	 1.8122763409102e-05 	 1.8122763409102e-05
240	 6 	 C2H2 	 C2H2 	 0.04006185415538333 	 0.04006185415538333
240	 10 	 NO 	 NO 	 0.0005297000449020605 	 0.0005297000449020605
240	 24 	 C 	 C 	 1.3122842498941086e-05 	 1.3122842498941086e-05
240	 5 	 F2 	 F2 	 0.0003787270309604153 	 0.0003787270309604153
240	 17 	 H2O 	 OH2 	 1.6150685624176852e-06 	 1.6150685624176852e-06
240	 1 	 N2 	 N2 	 0.0002093372090207728 	 0.0002093372090207728
240	 16 	 CH2 	 CH2 	 0.0048039019541879545 	 0.0048039019541879545
240	 4 	 CO2 	 CO2 	 0.002172589823683364 	 0.002172589823683364
240	 21 	 HN2O 	 HON2 	 0.006982755908279399 	 0.006982755908279399
240	 14 	 N2O 	 N2O 	 0.014621686531240975 	 0.014621686531240975
241	 6 	 C2H2 	 C2H2 	 0.04053626982099207 	 0.04053626982099207
241	 9 	 Na2 	 Na2 	 1.8077810221652264e-08 	 1.8077810221652264e-08
241	 22 	 CH4O 	 CH4O 	 0.00030466420252689137 	 0.00030466420252689137
241	 23 	 HF2 	 HF2 	 0.002784533319174147 	 0.002784533319174147
241	 16 	 CH2 	 CH2 	 0.004802337486802865 	 0.004802337486802865
241	 11 	 NO2 	 NO2 	 0.016666221546337418 	 0.016666221546337418
241	 21 	 HN2O 	 HON2 	 0.006982725566893296 	 0.006982725566893296
241	 20 	 CH 	 CH 	 3.9659140151962865e-07 	 3.9659140151962865e-07
241	 10 	 NO 	 NO 	 0.0005296591361205933 	 0.0005296591361205933
241	 0 	 H2 	 H2 	 1.0936889722919358e-05 	 1.0936889722919358e-05
241	 24 	 C 	 C 	 1.3244177641874249e-05 	 1.3244177641874249e-05
241	 25 	 Li 	 Li 	 4.1992901743807744e-05 	 4.1992901743807744e-05
241	 17 	 H2O 	 OH2 	 1.6408946951755535e-06 	 1.6408946951755535e-06
241	 18 	 H3N 	 NH3 	 0.00060331307489651 	 0.00060331307489651
241	 7 	 CO 	 OC 	 2.3987099370241462e-05 	 2.3987099370241462e-05
241	 15 	 CH3 	 CH3 	 0.00019080519097991943 	 0.00019080519097991943
241	 5 	 F2 	 F2 	 0.0003790067769499935 	 0.0003790067769499935
241	 8 	 HLi 	 LiH 	 1.7929589724486086e-05 	 1.7929589724486086e-05
241	 1 	 N2 	 N2 	 0.0002122853126603492 	 0.0002122853126603492
241	 13 	 O3 	 O3 	 0.017586422001065808 	 0.017586422001065808
241	 14 	 N2O 	 N2O 	 0.014802430913520829 	 0.014802430913520829
241	 3 	 CHN 	 CNH 	 0.001949563273391465 	 0.001949563273391465
241	 19 	 HO 	 OH 	 1.0706909106563004e-06 	 1.0706909106563004e-06
241	 12 	 HN 	 NH 	 0.001771616321101786 	 0.001771616321101786
241	 2 	 FLi 	 LiF 	 0.006076871640564069 	 0.006076871640564069
241	 4 	 CO2 	 CO2 	 0.0021717719459074967 	 0.0021717719459074967
242	 13 	 O3 	 O3 	 0.018184305093875676 	 0.018184305093875676
242	 22 	 CH4O 	 CH4O 	 0.0003046632883826074 	 0.0003046632883826074
242	 3 	 CHN 	 CNH 	 0.0019530650392411836 	 0.0019530650392411836
242	 18 	 H3N 	 NH3 	 0.0006036051494151299 	 0.0006036051494151299
242	 7 	 CO 	 OC 	 2.398845064236574e-05 	 2.398845064236574e-05
242	 23 	 HF2 	 HF2 	 0.0027845257316159735 	 0.0027845257316159735
242	 24 	 C 	 C 	 1.3279267204382687e-05 	 1.3279267204382687e-05
242	 2 	 FLi 	 LiF 	 0.006074277178074001 	 0.006074277178074001
242	 4 	 CO2 	 CO2 	 0.0022395424038879155 	 0.0022395424038879155
242	 21 	 HN2O 	 HON2 	 0.006982691995739434 	 0.006982691995739434
242	 17 	 H2O 	 OH2 	 3.001028386269696e-07 	 3.001028386269696e-07
242	 15 	 CH3 	 CH3 	 0.00019120132351549657 	 0.00019120132351549657
242	 20 	 CH 	 CH 	 3.9891639883104646e-07 	 3.9891639883104646e-07
242	 25 	 Li 	 Li 	 4.3173955852559404e-05 	 4.3173955852559404e-05
242	 11 	 NO2 	 NO2 	 0.01666462393715553 	 0.01666462393715553
242	 10 	 NO 	 NO 	 0.000529328191723459 	 0.000529328191723459
242	 1 	 N2 	 N2 	 0.00021210291749117395 	 0.00021210291749117395
242	 5 	 F2 	 F2 	 0.000378763089263145 	 0.000378763089263145
242	 12 	 HN 	 NH 	 0.0017718653219334997 	 0.0017718653219334997
242	 8 	 HLi 	 LiH 	 1.8063370760841245e-05 	 1.8063370760841245e-05
242	 14 	 N2O 	 N2O 	 0.014622390628783281 	 0.014622390628783281
242	 9 	 Na2 	 Na2 	 1.8447527881876725e-08 	 1.8447527881876725e-08
242	 0 	 H2 	 H2 	 1.1499675854377491e-05 	 1.1499675854377491e-05
242	 6 	 C2H2 	 C2H2 	 0.04512886819511567 	 0.04512886819511567
242	 16 	 CH2 	 CH2 	 0.0048014973120571874 	 0.0048014973120571874
242	 19 	 HO 	 OH 	 1.0622587156247953e-06 	 1.0622587156247953e-06
243	 8 	 HLi 	 LiH 	 1.8207277912434253e-05 	 1.8207277912434253e-05
243	 21 	 HN2O 	 HON2 	 0.00698260621464929 	 0.00698260621464929
243	 25 	 Li 	 Li 	 4.085002016813148e-05 	 4.085002016813148e-05
243	 24 	 C 	 C 	 1.3276763263088532e-05 	 1.3276763263088532e-05
243	 16 	 CH2 	 CH2 	 0.004803152392828759 	 0.004803152392828759
243	 23 	 HF2 	 HF2 	 0.0027844940583709272 	 0.0027844940583709272
243	 13 	 O3 	 O3 	 0.018185316300552614 	 0.018185316300552614
243	 1 	 N2 	 N2 	 0.00020851879613144976 	 0.00020851879613144976
243	 19 	 HO 	 OH 	 4.5111538845615517e-07 	 4.5111538845615517e-07
243	 15 	 CH3 	 CH3 	 0.0001909556247137849 	 0.0001909556247137849
243	 22 	 CH4O 	 CH4O 	 0.0003046537748880937 	 0.0003046537748880937
243	 7 	 CO 	 OC 	 2.7669538004828563e-05 	 2.7669538004828563e-05
243	 5 	 F2 	 F2 	 0.0003790058861208733 	 0.0003790058861208733
243	 6 	 C2H2 	 C2H2 	 0.029821188566185437 	 0.029821188566185437
243	 0 	 H2 	 H2 	 1.1014634464239755e-05 	 1.1014634464239755e-05
243	 14 	 N2O 	 N2O 	 0.014805003818682334 	 0.014805003818682334
243	 20 	 CH 	 CH 	 3.920593199386722e-07 	 3.920593199386722e-07
243	 18 	 H3N 	 NH3 	 0.0006043175557143196 	 0.0006043175557143196
243	 17 	 H2O 	 OH2 	 1.6355459617827705e-06 	 1.6355459617827705e-06
243	 3 	 CHN 	 CNH 	 0.001952162724430912 	 0.001952162724430912
243	 12 	 HN 	 NH 	 0.001771910459860199 	 0.001771910459860199
243	 9 	 Na2 	 Na2 	 1.888169682433535e-08 	 1.888169682433535e-08
243	 4 	 CO2 	 CO2 	 0.0022400208548403163 	 0.0022400208548403163
243	 2 	 FLi 	 LiF 	 0.006074470361380554 	 0.006074470361380554
243	 11 	 NO2 	 NO2 	 0.016667110668154888 	 0.016667110668154888
243	 10 	 NO 	 NO 	 0.000529410716789049 	 0.000529410716789049
244	 10 	 NO 	 NO 	 0.0005462286582066103 	 0.0005462286582066103
244	 21 	 HN2O 	 HON2 	 0.0069822290310331625 	 0.0069822290310331625
244	 24 	 C 	 C 	 1.321510595267466e-05 	 1.321510595267466e-05
244	 22 	 CH4O 	 CH4O 	 0.00030463204102526055 	 0.00030463204102526055
244	 8 	 HLi 	 LiH 	 1.785315915175117e-05 	 1.785315915175117e-05
244	 6 	 C2H2 	 C2H2 	 0.029510273498558566 	 0.029510273498558566
244	 5 	 F2 	 F2 	 0.00037879542228517213 	 0.00037879542228517213
244	 2 	 FLi 	 LiF 	 0.006074416331090746 	 0.006074416331090746
244	 0 	 H2 	 H2 	 1.0979176577661334e-05 	 1.0979176577661334e-05
244	 23 	 HF2 	 HF2 	 0.0027843766032006685 	 0.0027843766032006685
244	 19 	 HO 	 OH 	 4.575575218652772e-07 	 4.575575218652772e-07
244	 18 	 H3N 	 NH3 	 0.000604418032397249 	 0.000604418032397249
244	 4 	 CO2 	 CO2 	 0.0022366728285147723 	 0.0022366728285147723
244	 20 	 CH 	 CH 	 3.988627733084872e-07 	 3.988627733084872e-07
244	 11 	 NO2 	 NO2 	 0.01704952296326738 	 0.01704952296326738
244	 17 	 H2O 	 OH2 	 1.6519687960103701e-06 	 1.6519687960103701e-06
244	 9 	 Na2 	 Na2 	 1.8788403162993473e-08 	 1.8788403162993473e-08
244	 3 	 CHN 	 CNH 	 0.0019491098061057018 	 0.0019491098061057018
244	 15 	 CH3 	 CH3 	 0.00019118736667999672 	 0.00019118736667999672
244	 25 	 Li 	 Li 	 4.229221393210375e-05 	 4.229221393210375e-05
244	 13 	 O3 	 O3 	 0.01818018142381949 	 0.01818018142381949
244	 16 	 CH2 	 CH2 	 0.00480127639843608 	 0.00480127639843608
244	 7 	 CO 	 OC 	 2.7689463509345165e-05 	 2.7689463509345165e-05
244	 12 	 HN 	 NH 	 0.0017717592386266546 	 0.0017717592386266546
244	 14 	 N2O 	 N2O 	 0.0146203999486297 	 0.0146203999486297
244	 1 	 N2 	 N2 	 0.00021201307441664905 	 0.00021201307441664905
245	 25 	 Li 	 Li 	 4.249896417473306e-05 	 4.249896417473306e-05
245	 11 	 NO2 	 NO2 	 0.01704867690715007 	 0.01704867690715007
245	 17 	 H2O 	 OH2 	 1.6360476139897829e-06 	 1.6360476139897829e-06
245	 6 	 C2H2 	 C2H2 	 0.012575744626268833 	 0.012575744626268833
245	 18 	 H3N 	 NH3 	 0.0006036229560820385 	 0.0006036229560820385
245	 8 	 HLi 	 LiH 	 1.8159198840995132e-05 	 1.8159198840995132e-05
245	 23 	 HF2 	 HF2 	 0.002784266265172877 	 0.002784266265172877
245	 21 	 HN2O 	 HON2 	 0.006981647069114706 	 0.006981647069114706
245	 12 	 HN 	 NH 	 0.0017712733857029375 	 0.0017712733857029375
245	 7 	 CO 	 OC 	 2.395920666570712e-05 	 2.395920666570712e-05
245	 9 	 Na2 	 Na2 	 1.813340400766834e-08 	 1.813340400766834e-08
245	 20 	 CH 	 CH 	 3.9603792934292986e-07 	 3.9603792934292986e-07
245	 13 	 O3 	 O3 	 0.017585600430088544 	 0.017585600430088544
245	 22 	 CH4O 	 CH4O 	 0.0003045664660406434 	 0.0003045664660406434
245	 16 	 CH2 	 CH2 	 0.004802386414822918 	 0.004802386414822918
245	 4 	 CO2 	 CO2 	 0.002240258927301896 	 0.002240258927301896
245	 19 	 HO 	 OH 	 4.571332576670103e-07 	 4.571332576670103e-07
245	 5 	 F2 	 F2 	 0.0003788414719812617 	 0.0003788414719812617
245	 10 	 NO 	 NO 	 0.0005293718496777661 	 0.0005293718496777661
245	 2 	 FLi 	 LiF 	 0.006077751945810005 	 0.006077751945810005
245	 14 	 N2O 	 N2O 	 0.014800175195547015 	 0.014800175195547015
245	 0 	 H2 	 H2 	 1.149694016404704e-05 	 1.149694016404704e-05
245	 24 	 C 	 C 	 1.324454656387466e-05 	 1.324454656387466e-05
245	 1 	 N2 	 N2 	 0.00021208172080953267 	 0.00021208172080953267
245	 3 	 CHN 	 CNH 	 0.0019498841310304365 	 0.0019498841310304365
245	 15 	 CH3 	 CH3 	 0.00019111984855860897 	 0.00019111984855860897
246	 4 	 CO2 	 CO2 	 0.0022400113319319703 	 0.0022400113319319703
246	 24 	 C 	 C 	 1.3183274069070004e-05 	 1.3183274069070004e-05
246	 21 	 HN2O 	 HON2 	 0.006980943996945464 	 0.006980943996945464
246	 11 	 NO2 	 NO2 	 0.017047890489770606 	 0.017047890489770606
246	 9 	 Na2 	 Na2 	 1.817587773676051e-08 	 1.817587773676051e-08
246	 10 	 NO 	 NO 	 0.0005294363828008835 	 0.0005294363828008835
246	 20 	 CH 	 CH 	 3.992041267179781e-07 	 3.992041267179781e-07
246	 8 	 HLi 	 LiH 	 1.777626360352302e-05 	 1.777626360352302e-05
246	 1 	 N2 	 N2 	 0.0002101482843078486 	 0.0002101482843078486
246	 0 	 H2 	 H2 	 1.2535415676431496e-05 	 1.2535415676431496e-05
246	 22 	 CH4O 	 CH4O 	 0.0003045396396028129 	 0.0003045396396028129
246	 16 	 CH2 	 CH2 	 0.004801745097799704 	 0.004801745097799704
246	 23 	 HF2 	 HF2 	 0.0027840256722514887 	 0.0027840256722514887
246	 12 	 HN 	 NH 	 0.001771656815852162 	 0.001771656815852162
246	 25 	 Li 	 Li 	 4.2539685613361075e-05 	 4.2539685613361075e-05
246	 2 	 FLi 	 LiF 	 0.006070773251550577 	 0.006070773251550577
246	 7 	 CO 	 OC 	 2.3968482545321936e-05 	 2.3968482545321936e-05
246	 15 	 CH3 	 CH3 	 0.00019075836883586535 	 0.00019075836883586535
246	 19 	 HO 	 OH 	 4.522811747172908e-07 	 4.522811747172908e-07
246	 14 	 N2O 	 N2O 	 0.014800466727461353 	 0.014800466727461353
246	 17 	 H2O 	 OH2 	 2.90479555369935e-07 	 2.90479555369935e-07
246	 6 	 C2H2 	 C2H2 	 0.03447697813712967 	 0.03447697813712967
246	 18 	 H3N 	 NH3 	 0.0006041750531555439 	 0.0006041750531555439
246	 5 	 F2 	 F2 	 0.0003788487057030581 	 0.0003788487057030581
246	 13 	 O3 	 O3 	 0.017586834962470144 	 0.017586834962470144
246	 3 	 CHN 	 CNH 	 0.001954396638389848 	 0.001954396638389848
247	 9 	 Na2 	 Na2 	 1.8976477271816778e-08 	 1.8976477271816778e-08
247	 22 	 CH4O 	 CH4O 	 0.0003045295662700296 	 0.0003045295662700296
247	 5 	 F2 	 F2 	 0.00037879431980366164 	 0.00037879431980366164
247	 7 	 CO 	 OC 	 2.400576343243964e-05 	 2.400576343243964e-05
247	 15 	 CH3 	 CH3 	 0.00019085266060274095 	 0.00019085266060274095
247	 16 	 CH2 	 CH2 	 0.004800774916196784 	 0.004800774916196784
247	 21 	 HN2O 	 HON2 	 0.006980696269402766 	 0.006980696269402766
247	 18 	 H3N 	 NH3 	 0.0006047133161010445 	 0.0006047133161010445
247	 0 	 H2 	 H2 	 1.1358099328903982e-05 	 1.1358099328903982e-05
247	 14 	 N2O 	 N2O 	 0.014620869516052125 	 0.014620869516052125
247	 2 	 FLi 	 LiF 	 0.006071035828917113 	 0.006071035828917113
247	 25 	 Li 	 Li 	 4.157775445760923e-05 	 4.157775445760923e-05
247	 20 	 CH 	 CH 	 3.979366844463955e-07 	 3.979366844463955e-07
247	 19 	 HO 	 OH 	 1.0670872686031413e-06 	 1.0670872686031413e-06
247	 3 	 CHN 	 CNH 	 0.0019562410877794548 	 0.0019562410877794548
247	 24 	 C 	 C 	 1.3240646527349129e-05 	 1.3240646527349129e-05
247	 23 	 HF2 	 HF2 	 0.002783950078402468 	 0.002783950078402468
247	 11 	 NO2 	 NO2 	 0.016664112916678575 	 0.016664112916678575
247	 4 	 CO2 	 CO2 	 0.002169916824300858 	 0.002169916824300858
247	 13 	 O3 	 O3 	 0.01758711717299646 	 0.01758711717299646
247	 12 	 HN 	 NH 	 0.0017713822973210345 	 0.0017713822973210345
247	 10 	 NO 	 NO 	 0.0005294115106057707 	 0.0005294115106057707
247	 8 	 HLi 	 LiH 	 1.8004989731404325e-05 	 1.8004989731404325e-05
247	 6 	 C2H2 	 C2H2 	 0.008244163541127818 	 0.008244163541127818
247	 17 	 H2O 	 OH2 	 1.6314997772186341e-06 	 1.6314997772186341e-06
247	 1 	 N2 	 N2 	 0.0002117786503082412 	 0.0002117786503082412
248	 9 	 Na2 	 Na2 	 1.9006558064746088e-08 	 1.9006558064746088e-08
248	 0 	 H2 	 H2 	 1.1495608090734909e-05 	 1.1495608090734909e-05
248	 25 	 Li 	 Li 	 4.301835378006082e-05 	 4.301835378006082e-05
248	 2 	 FLi 	 LiF 	 0.00607267382073306 	 0.00607267382073306
248	 11 	 NO2 	 NO2 	 0.016662694438997063 	 0.016662694438997063
248	 1 	 N2 	 N2 	 0.00021226745003470626 	 0.00021226745003470626
248	 5 	 F2 	 F2 	 0.0003788273460055321 	 0.0003788273460055321
248	 7 	 CO 	 OC 	 2.4038917178629766e-05 	 2.4038917178629766e-05
248	 3 	 CHN 	 CNH 	 0.00195485685629898 	 0.00195485685629898
248	 19 	 HO 	 OH 	 4.5436188731743223e-07 	 4.5436188731743223e-07
248	 8 	 HLi 	 LiH 	 1.77642917738796e-05 	 1.77642917738796e-05
248	 13 	 O3 	 O3 	 0.018183607570215584 	 0.018183607570215584
248	 10 	 NO 	 NO 	 0.0005461796814061631 	 0.0005461796814061631
248	 14 	 N2O 	 N2O 	 0.01462219919397748 	 0.01462219919397748
248	 6 	 C2H2 	 C2H2 	 0.003669758613225451 	 0.003669758613225451
248	 18 	 H3N 	 NH3 	 0.0006041692820610295 	 0.0006041692820610295
248	 16 	 CH2 	 CH2 	 0.004801723927243246 	 0.004801723927243246
248	 15 	 CH3 	 CH3 	 0.00019145192861149367 	 0.00019145192861149367
248	 23 	 HF2 	 HF2 	 0.0027841534539858547 	 0.0027841534539858547
248	 24 	 C 	 C 	 1.3308352128662678e-05 	 1.3308352128662678e-05
248	 17 	 H2O 	 OH2 	 1.6583073993043041e-06 	 1.6583073993043041e-06
248	 20 	 CH 	 CH 	 3.9365122620077834e-07 	 3.9365122620077834e-07
248	 4 	 CO2 	 CO2 	 0.0022414393092770307 	 0.0022414393092770307
248	 12 	 HN 	 NH 	 0.0017711246795479604 	 0.0017711246795479604
248	 22 	 CH4O 	 CH4O 	 0.00030456977127020393 	 0.00030456977127020393
248	 21 	 HN2O 	 HON2 	 0.0069813600609214144 	 0.0069813600609214144
249	 22 	 CH4O 	 CH4O 	 0.00030457193913279557 	 0.00030457193913279557
249	 3 	 CHN 	 CNH 	 0.0019493610007137424 	 0.0019493610007137424
249	 2 	 FLi 	 LiF 	 0.006082435456242073 	 0.006082435456242073
249	 7 	 CO 	 OC 	 2.767365352042641e-05 	 2.767365352042641e-05
249	 8 	 HLi 	 LiH 	 1.8031148924325743e-05 	 1.8031148924325743e-05
249	 19 	 HO 	 OH 	 4.4804283020257945e-07 	 4.4804283020257945e-07
249	 12 	 HN 	 NH 	 0.0017715283572088231 	 0.0017715283572088231
249	 15 	 CH3 	 CH3 	 0.00019151400010344419 	 0.00019151400010344419
249	 6 	 C2H2 	 C2H2 	 0.03857881503503659 	 0.03857881503503659
249	 4 	 CO2 	 CO2 	 0.002236974592123687 	 0.002236974592123687
249	 9 	 Na2 	 Na2 	 1.8894273629042204e-08 	 1.8894273629042204e-08
249	 16 	 CH2 	 CH2 	 0.004802298452084642 	 0.004802298452084642
249	 18 	 H3N 	 NH3 	 0.0006040785509722177 	 0.0006040785509722177
249	 20 	 CH 	 CH 	 3.956179396039592e-07 	 3.956179396039592e-07
249	 1 	 N2 	 N2 	 0.00021211988580629432 	 0.00021211988580629432
249	 25 	 Li 	 Li 	 4.4332091948728676e-05 	 4.4332091948728676e-05
249	 10 	 NO 	 NO 	 0.000529226874744408 	 0.000529226874744408
249	 21 	 HN2O 	 HON2 	 0.006981275726906159 	 0.006981275726906159
249	 17 	 H2O 	 OH2 	 2.9207974614505835e-07 	 2.9207974614505835e-07
249	 23 	 HF2 	 HF2 	 0.0027841549404386437 	 0.0027841549404386437
249	 14 	 N2O 	 N2O 	 0.014619040989413473 	 0.014619040989413473
249	 5 	 F2 	 F2 	 0.0003787644329371365 	 0.0003787644329371365
249	 24 	 C 	 C 	 1.3221832338119671e-05 	 1.3221832338119671e-05
249	 11 	 NO2 	 NO2 	 0.016664712297408645 	 0.016664712297408645
249	 13 	 O3 	 O3 	 0.017587707451162702 	 0.017587707451162702
249	 0 	 H2 	 H2 	 1.2351583799773919e-05 	 1.2351583799773919e-05
250	 3 	 CHN 	 CNH 	 0.0019481778749235409 	 0.0019481778749235409
250	 0 	 H2 	 H2 	 1.2919758814076157e-05 	 1.2919758814076157e-05
250	 12 	 HN 	 NH 	 0.0017717416759387814 	 0.0017717416759387814
250	 5 	 F2 	 F2 	 0.0003787125670655246 	 0.0003787125670655246
250	 9 	 Na2 	 Na2 	 1.9156432544387127e-08 	 1.9156432544387127e-08
250	 14 	 N2O 	 N2O 	 0.014799698555205158 	 0.014799698555205158
250	 13 	 O3 	 O3 	 0.017586790231203034 	 0.017586790231203034
250	 8 	 HLi 	 LiH 	 1.7744540894263896e-05 	 1.7744540894263896e-05
250	 6 	 C2H2 	 C2H2 	 0.013238283191894148 	 0.013238283191894148
250	 19 	 HO 	 OH 	 1.0669789728437448e-06 	 1.0669789728437448e-06
250	 1 	 N2 	 N2 	 0.00021184453109992244 	 0.00021184453109992244
250	 18 	 H3N 	 NH3 	 0.0006045497971275935 	 0.0006045497971275935
250	 23 	 HF2 	 HF2 	 0.0027841322774035436 	 0.0027841322774035436
250	 17 	 H2O 	 OH2 	 1.6364386625286519e-06 	 1.6364386625286519e-06
250	 24 	 C 	 C 	 1.3264630909385155e-05 	 1.3264630909385155e-05
250	 4 	 CO2 	 CO2 	 0.0021727427839158776 	 0.0021727427839158776
250	 20 	 CH 	 CH 	 3.906932382268182e-07 	 3.906932382268182e-07
250	 10 	 NO 	 NO 	 0.0005459484849956676 	 0.0005459484849956676
250	 25 	 Li 	 Li 	 4.0555235700336195e-05 	 4.0555235700336195e-05
250	 11 	 NO2 	 NO2 	 0.017047615675426085 	 0.017047615675426085
250	 16 	 CH2 	 CH2 	 0.004802619943680036 	 0.004802619943680036
250	 22 	 CH4O 	 CH4O 	 0.0003045510709912416 	 0.0003045510709912416
