AE loss	 13 	 1 	 N2 	 N2 	 9.332275282188675e-05
AE loss	 14 	 7 	 Li 	 Li 	 8.158112696780547e-07
AE loss	 14 	 2 	 FLi 	 LiF 	 0.008624685989656133
AE loss	 14 	 8 	 N 	 N 	 9.838477840092272e-06
AE loss	 14 	 9 	 HN2O 	 HON2 	 0.0008921458072973253
AE loss	 14 	 11 	 HF2 	 HF2 	 0.0009066624399796534
AE loss	 14 	 5 	 F 	 F 	 6.014241962409425e-10
AE loss	 14 	 12 	 C 	 C 	 5.320474859581119e-05
AE loss	 14 	 3 	 CHN 	 CNH 	 0.0077339568852817925
AE loss	 14 	 10 	 CH4O 	 CH4O 	 5.997550980835892e-05
AE loss	 14 	 13 	 Li 	 Li 	 3.131804368009077e-07
AE loss	 14 	 4 	 C 	 C 	 6.221490615919459e-06
AE loss	 14 	 1 	 N2 	 N2 	 8.914092465375857e-05
AE loss	 14 	 0 	 H2 	 H2 	 7.793763587145897e-07
AE loss	 14 	 6 	 H 	 H 	 8.155093072933293e-08
AE loss	 15 	 9 	 HN2O 	 HON2 	 0.000897701444341386
AE loss	 15 	 4 	 C 	 C 	 6.7920363812974755e-06
AE loss	 15 	 10 	 CH4O 	 CH4O 	 6.01148145623366e-05
AE loss	 15 	 7 	 Li 	 Li 	 8.006748548157813e-07
AE loss	 15 	 5 	 F 	 F 	 3.2121121470863974e-07
AE loss	 15 	 8 	 N 	 N 	 1.1341190094599372e-05
AE loss	 15 	 12 	 C 	 C 	 5.213541365198549e-05
AE loss	 15 	 2 	 FLi 	 LiF 	 0.00854767445557318
AE loss	 15 	 11 	 HF2 	 HF2 	 0.0009165979374490948
AE loss	 15 	 1 	 N2 	 N2 	 8.649181703040921e-05
AE loss	 15 	 6 	 H 	 H 	 8.570438727191e-08
AE loss	 15 	 3 	 CHN 	 CNH 	 0.007604458969187537
AE loss	 15 	 0 	 H2 	 H2 	 1.0531920956806735e-06
AE loss	 15 	 13 	 Li 	 Li 	 3.528492213128983e-07
AE loss	 16 	 8 	 N 	 N 	 1.0646250689095262e-05
AE loss	 16 	 13 	 Li 	 Li 	 3.6207972644141495e-07
AE loss	 16 	 4 	 C 	 C 	 6.310780955400856e-06
AE loss	 16 	 0 	 H2 	 H2 	 1.2411808351956186e-06
AE loss	 16 	 7 	 Li 	 Li 	 9.685401257390757e-07
AE loss	 16 	 6 	 H 	 H 	 9.307784759838657e-08
AE loss	 16 	 10 	 CH4O 	 CH4O 	 6.018161485777814e-05
AE loss	 16 	 9 	 HN2O 	 HON2 	 0.0009009311618245041
AE loss	 16 	 3 	 CHN 	 CNH 	 0.00751079146602181
AE loss	 16 	 1 	 N2 	 N2 	 8.228105636115422e-05
AE loss	 16 	 2 	 FLi 	 LiF 	 0.00847013879724899
AE loss	 16 	 12 	 C 	 C 	 5.094850313352076e-05
AE loss	 16 	 5 	 F 	 F 	 6.986563175070003e-07
AE loss	 16 	 11 	 HF2 	 HF2 	 0.0009323241628936923
AE loss	 17 	 9 	 HN2O 	 HON2 	 0.0009081151280905961
AE loss	 17 	 1 	 N2 	 N2 	 7.941558884313709e-05
AE loss	 17 	 11 	 HF2 	 HF2 	 0.0009350640352764799
AE loss	 17 	 7 	 Li 	 Li 	 8.451238060552778e-07
AE loss	 17 	 2 	 FLi 	 LiF 	 0.00843487420036115
AE loss	 17 	 4 	 C 	 C 	 8.55913268179817e-06
AE loss	 17 	 5 	 F 	 F 	 1.4114462042487656e-06
AE loss	 17 	 10 	 CH4O 	 CH4O 	 6.092578188821157e-05
AE loss	 17 	 12 	 C 	 C 	 5.0591227304090634e-05
AE loss	 17 	 6 	 H 	 H 	 1.1155908654974762e-07
AE loss	 17 	 0 	 H2 	 H2 	 1.7953509861988563e-06
AE loss	 17 	 3 	 CHN 	 CNH 	 0.007365312840854944
AE loss	 17 	 8 	 N 	 N 	 1.4350015705901059e-05
AE loss	 17 	 13 	 Li 	 Li 	 4.4259106589341286e-07
AE loss	 18 	 11 	 HF2 	 HF2 	 0.0009403135763332048
AE loss	 18 	 2 	 FLi 	 LiF 	 0.0083786461672957
AE loss	 18 	 8 	 N 	 N 	 1.4589695461724271e-05
AE loss	 18 	 7 	 Li 	 Li 	 8.803064710099691e-07
AE loss	 18 	 6 	 H 	 H 	 1.204334948036343e-07
AE loss	 18 	 3 	 CHN 	 CNH 	 0.007291645712592816
AE loss	 18 	 4 	 C 	 C 	 8.042792093551177e-06
AE loss	 18 	 13 	 Li 	 Li 	 4.7077722956536987e-07
AE loss	 18 	 1 	 N2 	 N2 	 7.349381045451452e-05
AE loss	 18 	 10 	 CH4O 	 CH4O 	 6.103578717089284e-05
AE loss	 18 	 0 	 H2 	 H2 	 2.6979203534231117e-06
AE loss	 18 	 12 	 C 	 C 	 4.955762951015453e-05
AE loss	 18 	 9 	 HN2O 	 HON2 	 0.000920038097648314
AE loss	 18 	 5 	 F 	 F 	 1.2827224077067504e-06
AE loss	 19 	 13 	 Li 	 Li 	 4.946482476591084e-07
AE loss	 19 	 3 	 CHN 	 CNH 	 0.007180219936829962
AE loss	 19 	 0 	 H2 	 H2 	 3.049079391372371e-06
AE loss	 19 	 12 	 C 	 C 	 4.885267385505229e-05
AE loss	 19 	 11 	 HF2 	 HF2 	 0.0009571976602567832
AE loss	 19 	 5 	 F 	 F 	 3.146001811839606e-06
AE loss	 19 	 10 	 CH4O 	 CH4O 	 6.12754785471928e-05
AE loss	 19 	 2 	 FLi 	 LiF 	 0.008277774510503995
AE loss	 19 	 6 	 H 	 H 	 1.5093039381953324e-07
AE loss	 19 	 9 	 HN2O 	 HON2 	 0.0009271125740150463
AE loss	 19 	 7 	 Li 	 Li 	 9.539816664260797e-07
AE loss	 19 	 8 	 N 	 N 	 1.931505516389254e-05
AE loss	 19 	 4 	 C 	 C 	 1.0383291082411384e-05
