#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
81	 2 	 FLi 	 LiF 	 0.005859592773919128 	 0.005859592773919128
81	 23 	 HF2 	 HF2 	 0.003781331247481037 	 0.003781331247481037
81	 10 	 NO 	 NO 	 0.00046546537605045865 	 0.00046546537605045865
81	 12 	 HN 	 NH 	 0.002089497334146085 	 0.002089497334146085
81	 15 	 CH3 	 CH3 	 0.00017568067067522063 	 0.00017568067067522063
82	 6 	 C2H2 	 C2H2 	 0.04176491938585943 	 0.04176491938585943
82	 12 	 HN 	 NH 	 0.0020945223592669805 	 0.0020945223592669805
82	 25 	 Li 	 Li 	 6.22828271941719e-05 	 6.22828271941719e-05
82	 14 	 N2O 	 N2O 	 0.009083327970205505 	 0.009083327970205505
82	 17 	 H2O 	 OH2 	 3.450938587696629e-05 	 3.450938587696629e-05
82	 13 	 O3 	 O3 	 0.015527294912555976 	 0.015527294912555976
82	 9 	 Na2 	 Na2 	 3.076385858982964e-05 	 3.076385858982964e-05
82	 15 	 CH3 	 CH3 	 0.0001790064366877826 	 0.0001790064366877826
82	 11 	 NO2 	 NO2 	 0.013081323295150509 	 0.013081323295150509
82	 23 	 HF2 	 HF2 	 0.003786560420019556 	 0.003786560420019556
82	 7 	 CO 	 OC 	 5.7352367103758005e-05 	 5.7352367103758005e-05
82	 18 	 H3N 	 NH3 	 0.001053752974403239 	 0.001053752974403239
82	 0 	 H2 	 H2 	 1.5806965708205573e-08 	 1.5806965708205573e-08
82	 21 	 HN2O 	 HON2 	 0.0072625258277952435 	 0.0072625258277952435
82	 1 	 N2 	 N2 	 4.104679576667939e-05 	 4.104679576667939e-05
82	 8 	 HLi 	 LiH 	 5.245441792989165e-07 	 5.245441792989165e-07
82	 10 	 NO 	 NO 	 0.00046515585574809356 	 0.00046515585574809356
82	 20 	 CH 	 CH 	 4.259555272460363e-06 	 4.259555272460363e-06
82	 3 	 CHN 	 CNH 	 0.0024037996268930794 	 0.0024037996268930794
82	 16 	 CH2 	 CH2 	 0.004519644501742887 	 0.004519644501742887
