#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
32	 17 	 N2O 	 N2O 	 0.0027352817133389205 	 0.0027352817133389205
32	 29 	 N 	 N 	 0.00011474084070502541 	 0.00011474084070502541
32	 28 	 Li 	 Li 	 2.908839554223043e-05 	 2.908839554223043e-05
32	 20 	 H2O 	 OH2 	 4.6308602454854664e-05 	 4.6308602454854664e-05
32	 36 	 C 	 C 	 5.494257431513696e-05 	 5.494257431513696e-05
32	 30 	 Na 	 Na 	 1.3084847788731325e-05 	 1.3084847788731325e-05
32	 27 	 H 	 H 	 5.322344779367347e-07 	 5.322344779367347e-07
32	 8 	 C2H2 	 C2H2 	 5.025514690093788e-05 	 5.025514690093788e-05
32	 9 	 CO 	 OC 	 0.0005132998436921116 	 0.0005132998436921116
32	 6 	 F2 	 F2 	 6.11209332981694e-05 	 6.11209332981694e-05
32	 14 	 NO2 	 NO2 	 0.003241635820080863 	 0.003241635820080863
32	 3 	 CHN 	 CNH 	 0.005495373264781752 	 0.005495373264781752
32	 22 	 HO 	 OH 	 1.5576707208600148e-05 	 1.5576707208600148e-05
32	 23 	 CH 	 CH 	 4.829483970011052e-07 	 4.829483970011052e-07
32	 4 	 CO2 	 CO2 	 0.010179685969118158 	 0.010179685969118158
32	 2 	 FLi 	 LiF 	 0.006842566389904529 	 0.006842566389904529
32	 16 	 O3 	 O3 	 0.0019124032042930712 	 0.0019124032042930712
32	 31 	 O 	 O 	 6.703542079233888e-05 	 6.703542079233888e-05
32	 19 	 CH2 	 CH2 	 0.0004171037807217141 	 0.0004171037807217141
32	 13 	 NO 	 NO 	 6.66399782881136e-05 	 6.66399782881136e-05
32	 0 	 H2 	 H2 	 1.0809505276219227e-05 	 1.0809505276219227e-05
33	 14 	 NO2 	 NO2 	 0.0033279500861591836 	 0.0033279500861591836
33	 4 	 CO2 	 CO2 	 0.010043395524754948 	 0.010043395524754948
33	 0 	 H2 	 H2 	 1.073335544801076e-05 	 1.073335544801076e-05
33	 9 	 CO 	 OC 	 0.000494844207124477 	 0.000494844207124477
33	 25 	 Cl 	 Cl 	 4.76664732472823e-05 	 4.76664732472823e-05
33	 29 	 N 	 N 	 0.00014755697039248555 	 0.00014755697039248555
33	 30 	 Na 	 Na 	 3.767076306648468e-05 	 3.767076306648468e-05
33	 22 	 HO 	 OH 	 1.5266962359461847e-05 	 1.5266962359461847e-05
33	 11 	 HLi 	 LiH 	 6.767083849423537e-06 	 6.767083849423537e-06
33	 1 	 N2 	 N2 	 7.53367193702159e-06 	 7.53367193702159e-06
33	 15 	 HN 	 NH 	 9.136005553428979e-05 	 9.136005553428979e-05
33	 31 	 O 	 O 	 6.842772496468009e-05 	 6.842772496468009e-05
33	 37 	 Li 	 Li 	 6.871576124979688e-07 	 6.871576124979688e-07
33	 20 	 H2O 	 OH2 	 5.211123667831022e-05 	 5.211123667831022e-05
33	 24 	 C 	 C 	 0.0001370704648981169 	 0.0001370704648981169
33	 12 	 Na2 	 Na2 	 7.039858682282876e-08 	 7.039858682282876e-08
33	 13 	 NO 	 NO 	 7.453320204553365e-05 	 7.453320204553365e-05
33	 3 	 CHN 	 CNH 	 0.005403606599147198 	 0.005403606599147198
33	 6 	 F2 	 F2 	 6.747438617745737e-05 	 6.747438617745737e-05
33	 8 	 C2H2 	 C2H2 	 0.013206099696252166 	 0.013206099696252166
33	 21 	 H3N 	 NH3 	 0.00012705895707176403 	 0.00012705895707176403
33	 28 	 Li 	 Li 	 2.702214492491495e-05 	 2.702214492491495e-05
33	 16 	 O3 	 O3 	 0.0018848383447947568 	 0.0018848383447947568
33	 26 	 F 	 F 	 3.645201185148882e-05 	 3.645201185148882e-05
33	 19 	 CH2 	 CH2 	 0.00042475528792467447 	 0.00042475528792467447
33	 35 	 HF2 	 HF2 	 0.001409792853793079 	 0.001409792853793079
33	 23 	 CH 	 CH 	 1.181835581456494e-06 	 1.181835581456494e-06
33	 2 	 FLi 	 LiF 	 0.006892297948352344 	 0.006892297948352344
33	 17 	 N2O 	 N2O 	 0.002435543456429407 	 0.002435543456429407
33	 18 	 CH3 	 CH3 	 0.0004654021562097263 	 0.0004654021562097263
33	 36 	 C 	 C 	 4.326403253099075e-05 	 4.326403253099075e-05
33	 27 	 H 	 H 	 6.041776288209236e-07 	 6.041776288209236e-07
34	 14 	 NO2 	 NO2 	 0.0027745739407286484 	 0.0027745739407286484
34	 37 	 Li 	 Li 	 1.9936427359605713e-06 	 1.9936427359605713e-06
34	 13 	 NO 	 NO 	 4.386383715935581e-05 	 4.386383715935581e-05
34	 19 	 CH2 	 CH2 	 0.00041704013083959006 	 0.00041704013083959006
34	 11 	 HLi 	 LiH 	 2.2021729871697814e-05 	 2.2021729871697814e-05
34	 31 	 O 	 O 	 0.00010881804681626235 	 0.00010881804681626235
34	 12 	 Na2 	 Na2 	 5.605783773790578e-07 	 5.605783773790578e-07
34	 3 	 CHN 	 CNH 	 0.004845640816019478 	 0.004845640816019478
34	 1 	 N2 	 N2 	 1.8964555609181601e-06 	 1.8964555609181601e-06
34	 6 	 F2 	 F2 	 5.716521266470718e-05 	 5.716521266470718e-05
34	 2 	 FLi 	 LiF 	 0.00693999283181094 	 0.00693999283181094
34	 21 	 H3N 	 NH3 	 8.928696811072696e-05 	 8.928696811072696e-05
34	 0 	 H2 	 H2 	 4.116675871443144e-05 	 4.116675871443144e-05
34	 22 	 HO 	 OH 	 1.1405167230485002e-05 	 1.1405167230485002e-05
34	 36 	 C 	 C 	 3.870968845236571e-05 	 3.870968845236571e-05
34	 25 	 Cl 	 Cl 	 0.0007263617665636323 	 0.0007263617665636323
34	 28 	 Li 	 Li 	 1.403784117228994e-05 	 1.403784117228994e-05
34	 23 	 CH 	 CH 	 2.014233216977843e-06 	 2.014233216977843e-06
34	 9 	 CO 	 OC 	 0.0005507699710983112 	 0.0005507699710983112
34	 35 	 HF2 	 HF2 	 0.001402802348787863 	 0.001402802348787863
34	 8 	 C2H2 	 C2H2 	 6.3551774372679e-05 	 6.3551774372679e-05
34	 27 	 H 	 H 	 6.174339238852762e-07 	 6.174339238852762e-07
34	 24 	 C 	 C 	 0.00013081358539911408 	 0.00013081358539911408
34	 30 	 Na 	 Na 	 0.00017202414087713586 	 0.00017202414087713586
34	 26 	 F 	 F 	 9.268931918782829e-05 	 9.268931918782829e-05
34	 20 	 H2O 	 OH2 	 1.9343946461758628e-05 	 1.9343946461758628e-05
34	 17 	 N2O 	 N2O 	 0.002114625106126478 	 0.002114625106126478
34	 29 	 N 	 N 	 0.00014670394679695272 	 0.00014670394679695272
34	 16 	 O3 	 O3 	 0.001462553826089688 	 0.001462553826089688
34	 18 	 CH3 	 CH3 	 0.00047485928986043915 	 0.00047485928986043915
34	 4 	 CO2 	 CO2 	 0.010620165677883594 	 0.010620165677883594
34	 15 	 HN 	 NH 	 9.775402736620034e-05 	 9.775402736620034e-05
35	 11 	 HLi 	 LiH 	 2.605881844958683e-05 	 2.605881844958683e-05
35	 27 	 H 	 H 	 5.893654997431629e-07 	 5.893654997431629e-07
35	 14 	 NO2 	 NO2 	 0.0025424643351094917 	 0.0025424643351094917
35	 3 	 CHN 	 CNH 	 0.0047962831496436865 	 0.0047962831496436865
35	 17 	 N2O 	 N2O 	 0.0021040325488279623 	 0.0021040325488279623
35	 35 	 HF2 	 HF2 	 0.001396083491513192 	 0.001396083491513192
35	 0 	 H2 	 H2 	 4.4552186340211724e-05 	 4.4552186340211724e-05
35	 29 	 N 	 N 	 0.00014003531613209543 	 0.00014003531613209543
35	 1 	 N2 	 N2 	 1.418022743088583e-06 	 1.418022743088583e-06
35	 37 	 Li 	 Li 	 2.5769481014163406e-06 	 2.5769481014163406e-06
35	 28 	 Li 	 Li 	 1.1878736705368583e-05 	 1.1878736705368583e-05
35	 22 	 HO 	 OH 	 1.1666712340297447e-05 	 1.1666712340297447e-05
35	 23 	 CH 	 CH 	 2.1824742166740785e-06 	 2.1824742166740785e-06
35	 16 	 O3 	 O3 	 0.0014565090651613467 	 0.0014565090651613467
35	 8 	 C2H2 	 C2H2 	 6.316312606305085e-05 	 6.316312606305085e-05
35	 36 	 C 	 C 	 3.891972418290256e-05 	 3.891972418290256e-05
35	 13 	 NO 	 NO 	 3.735475094557616e-05 	 3.735475094557616e-05
35	 31 	 O 	 O 	 9.64378773253052e-05 	 9.64378773253052e-05
35	 2 	 FLi 	 LiF 	 0.006902126141951263 	 0.006902126141951263
35	 6 	 F2 	 F2 	 5.573521407702903e-05 	 5.573521407702903e-05
35	 9 	 CO 	 OC 	 0.0005525638171614599 	 0.0005525638171614599
35	 30 	 Na 	 Na 	 0.00014332505061673858 	 0.00014332505061673858
35	 21 	 H3N 	 NH3 	 9.30837570127239e-05 	 9.30837570127239e-05
35	 25 	 Cl 	 Cl 	 0.0005522615231069043 	 0.0005522615231069043
35	 20 	 H2O 	 OH2 	 2.0539468811200765e-05 	 2.0539468811200765e-05
35	 4 	 CO2 	 CO2 	 0.010630168156047405 	 0.010630168156047405
35	 26 	 F 	 F 	 7.023993864377928e-05 	 7.023993864377928e-05
35	 18 	 CH3 	 CH3 	 0.00048355530259647716 	 0.00048355530259647716
35	 12 	 Na2 	 Na2 	 6.456276528107057e-07 	 6.456276528107057e-07
35	 24 	 C 	 C 	 0.00011339027301239463 	 0.00011339027301239463
35	 15 	 HN 	 NH 	 9.921548085291355e-05 	 9.921548085291355e-05
35	 19 	 CH2 	 CH2 	 0.0004246442830052828 	 0.0004246442830052828
36	 28 	 Li 	 Li 	 1.0885705393556044e-05 	 1.0885705393556044e-05
36	 8 	 C2H2 	 C2H2 	 6.0980076656231664e-05 	 6.0980076656231664e-05
36	 11 	 HLi 	 LiH 	 2.6517958503688628e-05 	 2.6517958503688628e-05
36	 6 	 F2 	 F2 	 5.516555525020453e-05 	 5.516555525020453e-05
36	 31 	 O 	 O 	 7.769213419689634e-05 	 7.769213419689634e-05
36	 18 	 CH3 	 CH3 	 0.0004896259374124391 	 0.0004896259374124391
36	 30 	 Na 	 Na 	 9.951534505162735e-05 	 9.951534505162735e-05
36	 3 	 CHN 	 CNH 	 0.004798266672635854 	 0.004798266672635854
36	 15 	 HN 	 NH 	 9.97030740784518e-05 	 9.97030740784518e-05
36	 27 	 H 	 H 	 5.453932963665182e-07 	 5.453932963665182e-07
36	 20 	 H2O 	 OH2 	 2.275455627183978e-05 	 2.275455627183978e-05
36	 29 	 N 	 N 	 0.00011713965750980498 	 0.00011713965750980498
36	 23 	 CH 	 CH 	 2.3217299951294256e-06 	 2.3217299951294256e-06
36	 16 	 O3 	 O3 	 0.0014479458192946913 	 0.0014479458192946913
36	 1 	 N2 	 N2 	 1.5037075965956456e-06 	 1.5037075965956456e-06
36	 9 	 CO 	 OC 	 0.0005524596249211286 	 0.0005524596249211286
36	 21 	 H3N 	 NH3 	 0.0001001148610902552 	 0.0001001148610902552
36	 19 	 CH2 	 CH2 	 0.00042840726523759947 	 0.00042840726523759947
36	 12 	 Na2 	 Na2 	 6.347815869420915e-07 	 6.347815869420915e-07
36	 13 	 NO 	 NO 	 3.716548556074273e-05 	 3.716548556074273e-05
36	 35 	 HF2 	 HF2 	 0.0013856661210730422 	 0.0013856661210730422
36	 2 	 FLi 	 LiF 	 0.006865881866836831 	 0.006865881866836831
36	 36 	 C 	 C 	 4.0439148594459406e-05 	 4.0439148594459406e-05
36	 0 	 H2 	 H2 	 4.540472253328051e-05 	 4.540472253328051e-05
36	 4 	 CO2 	 CO2 	 0.010644092856638154 	 0.010644092856638154
36	 22 	 HO 	 OH 	 1.2402010041354786e-05 	 1.2402010041354786e-05
36	 25 	 Cl 	 Cl 	 0.00032376353204886766 	 0.00032376353204886766
36	 37 	 Li 	 Li 	 2.5461403426171864e-06 	 2.5461403426171864e-06
36	 17 	 N2O 	 N2O 	 0.0020989468624226415 	 0.0020989468624226415
36	 26 	 F 	 F 	 4.512211021080301e-05 	 4.512211021080301e-05
