#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
23	 13 	 O3 	 O3 	 0.0012397299629597206 	 0.0012397299629597206
23	 0 	 H2 	 H2 	 1.1368006532117267e-06 	 1.1368006532117267e-06
23	 10 	 NO 	 NO 	 7.912516808701111e-06 	 7.912516808701111e-06
23	 23 	 HF2 	 HF2 	 0.0014546952120252027 	 0.0014546952120252027
23	 12 	 HN 	 NH 	 0.00040677200598724744 	 0.00040677200598724744
23	 19 	 HO 	 OH 	 7.122340568756861e-09 	 7.122340568756861e-09
23	 18 	 H3N 	 NH3 	 7.374726722326504e-05 	 7.374726722326504e-05
23	 9 	 Na2 	 Na2 	 1.9466711148719996e-06 	 1.9466711148719996e-06
23	 17 	 H2O 	 OH2 	 5.476441766721589e-05 	 5.476441766721589e-05
23	 3 	 CHN 	 CNH 	 0.005820891762118989 	 0.005820891762118989
23	 20 	 CH 	 CH 	 1.3178521847718894e-07 	 1.3178521847718894e-07
23	 22 	 CH4O 	 CH4O 	 0.0001281308933265707 	 0.0001281308933265707
24	 8 	 HLi 	 LiH 	 9.514979456119915e-07 	 9.514979456119915e-07
24	 25 	 Li 	 Li 	 1.0843142056771854e-05 	 1.0843142056771854e-05
24	 3 	 CHN 	 CNH 	 0.005779807781771498 	 0.005779807781771498
24	 1 	 N2 	 N2 	 2.7971365732317106e-05 	 2.7971365732317106e-05
24	 12 	 HN 	 NH 	 0.0004179414787256903 	 0.0004179414787256903
24	 16 	 CH2 	 CH2 	 0.0018696113017418789 	 0.0018696113017418789
24	 15 	 CH3 	 CH3 	 5.87789848401616e-05 	 5.87789848401616e-05
24	 21 	 HN2O 	 HON2 	 0.0021953207416029095 	 0.0021953207416029095
24	 22 	 CH4O 	 CH4O 	 0.0001293126696313049 	 0.0001293126696313049
24	 11 	 NO2 	 NO2 	 0.001853167148816535 	 0.001853167148816535
24	 19 	 HO 	 OH 	 8.650019255245324e-09 	 8.650019255245324e-09
24	 7 	 CO 	 OC 	 0.0007580469533610536 	 0.0007580469533610536
24	 9 	 Na2 	 Na2 	 2.365612382873105e-06 	 2.365612382873105e-06
24	 18 	 H3N 	 NH3 	 6.778041443620567e-05 	 6.778041443620567e-05
24	 10 	 NO 	 NO 	 9.15447252242037e-06 	 9.15447252242037e-06
24	 24 	 C 	 C 	 7.086902716481948e-06 	 7.086902716481948e-06
24	 5 	 F2 	 F2 	 4.099339275278588e-05 	 4.099339275278588e-05
24	 0 	 H2 	 H2 	 2.2427620986835068e-06 	 2.2427620986835068e-06
24	 6 	 C2H2 	 C2H2 	 0.0003244660972002145 	 0.0003244660972002145
24	 4 	 CO2 	 CO2 	 0.011617457479835185 	 0.011617457479835185
24	 20 	 CH 	 CH 	 3.1830974104329935e-08 	 3.1830974104329935e-08
24	 13 	 O3 	 O3 	 0.0013493636159039304 	 0.0013493636159039304
24	 23 	 HF2 	 HF2 	 0.0014862428282656718 	 0.0014862428282656718
24	 17 	 H2O 	 OH2 	 5.071188801336886e-05 	 5.071188801336886e-05
24	 2 	 FLi 	 LiF 	 0.008281217197842394 	 0.008281217197842394
24	 14 	 N2O 	 N2O 	 0.0012443320164480136 	 0.0012443320164480136
25	 7 	 CO 	 OC 	 0.0007357138464319608 	 0.0007357138464319608
25	 20 	 CH 	 CH 	 4.962739812791066e-08 	 4.962739812791066e-08
25	 9 	 Na2 	 Na2 	 2.185202109810473e-06 	 2.185202109810473e-06
25	 5 	 F2 	 F2 	 4.5918488632415044e-05 	 4.5918488632415044e-05
25	 21 	 HN2O 	 HON2 	 0.002291607692176261 	 0.002291607692176261
25	 17 	 H2O 	 OH2 	 5.074491732140283e-05 	 5.074491732140283e-05
25	 13 	 O3 	 O3 	 0.0014719158470650657 	 0.0014719158470650657
25	 8 	 HLi 	 LiH 	 1.2465142805004567e-06 	 1.2465142805004567e-06
25	 14 	 N2O 	 N2O 	 0.001305062313919484 	 0.001305062313919484
25	 18 	 H3N 	 NH3 	 7.255238638661862e-05 	 7.255238638661862e-05
25	 4 	 CO2 	 CO2 	 0.01122283538226731 	 0.01122283538226731
25	 15 	 CH3 	 CH3 	 6.0101486133787535e-05 	 6.0101486133787535e-05
25	 12 	 HN 	 NH 	 0.00045279597332629736 	 0.00045279597332629736
25	 6 	 C2H2 	 C2H2 	 0.0002958182882566951 	 0.0002958182882566951
25	 25 	 Li 	 Li 	 1.4177176145469792e-05 	 1.4177176145469792e-05
25	 10 	 NO 	 NO 	 1.3428521791744902e-05 	 1.3428521791744902e-05
25	 3 	 CHN 	 CNH 	 0.005587885695099001 	 0.005587885695099001
25	 16 	 CH2 	 CH2 	 0.0019007247411517065 	 0.0019007247411517065
25	 11 	 NO2 	 NO2 	 0.002060454726494691 	 0.002060454726494691
25	 22 	 CH4O 	 CH4O 	 0.00013449222145356493 	 0.00013449222145356493
25	 2 	 FLi 	 LiF 	 0.008173871361426084 	 0.008173871361426084
25	 0 	 H2 	 H2 	 1.899233727573064e-06 	 1.899233727573064e-06
25	 1 	 N2 	 N2 	 2.0122566537968978e-05 	 2.0122566537968978e-05
25	 24 	 C 	 C 	 3.4885176142310747e-06 	 3.4885176142310747e-06
25	 23 	 HF2 	 HF2 	 0.00151728232449378 	 0.00151728232449378
25	 19 	 HO 	 OH 	 5.6614714989775776e-08 	 5.6614714989775776e-08
26	 14 	 N2O 	 N2O 	 0.0013654741463339376 	 0.0013654741463339376
26	 21 	 HN2O 	 HON2 	 0.002340244021872854 	 0.002340244021872854
26	 15 	 CH3 	 CH3 	 6.292878419227053e-05 	 6.292878419227053e-05
26	 19 	 HO 	 OH 	 5.4610687170805856e-08 	 5.4610687170805856e-08
26	 10 	 NO 	 NO 	 1.3227127796045966e-05 	 1.3227127796045966e-05
26	 4 	 CO2 	 CO2 	 0.011012446907064228 	 0.011012446907064228
26	 7 	 CO 	 OC 	 0.0007054106025914744 	 0.0007054106025914744
26	 8 	 HLi 	 LiH 	 1.706470002764135e-06 	 1.706470002764135e-06
26	 3 	 CHN 	 CNH 	 0.005518821760879668 	 0.005518821760879668
26	 25 	 Li 	 Li 	 1.504418565331132e-05 	 1.504418565331132e-05
26	 5 	 F2 	 F2 	 5.1450974129072054e-05 	 5.1450974129072054e-05
26	 11 	 NO2 	 NO2 	 0.002114351035775135 	 0.002114351035775135
26	 9 	 Na2 	 Na2 	 2.057717043021004e-06 	 2.057717043021004e-06
26	 17 	 H2O 	 OH2 	 5.052527399187918e-05 	 5.052527399187918e-05
26	 22 	 CH4O 	 CH4O 	 0.00013597602449893419 	 0.00013597602449893419
26	 1 	 N2 	 N2 	 1.9060859834158467e-05 	 1.9060859834158467e-05
26	 12 	 HN 	 NH 	 0.0004838250049991104 	 0.0004838250049991104
26	 16 	 CH2 	 CH2 	 0.0019022974897122324 	 0.0019022974897122324
26	 20 	 CH 	 CH 	 3.944334167391803e-08 	 3.944334167391803e-08
26	 23 	 HF2 	 HF2 	 0.0015427096188662859 	 0.0015427096188662859
26	 0 	 H2 	 H2 	 3.3634998240374654e-06 	 3.3634998240374654e-06
26	 18 	 H3N 	 NH3 	 7.625620818845811e-05 	 7.625620818845811e-05
26	 6 	 C2H2 	 C2H2 	 0.0002664627426501885 	 0.0002664627426501885
26	 2 	 FLi 	 LiF 	 0.008068603859868606 	 0.008068603859868606
26	 24 	 C 	 C 	 2.146677438995007e-06 	 2.146677438995007e-06
26	 13 	 O3 	 O3 	 0.0016181141847166841 	 0.0016181141847166841
27	 0 	 H2 	 H2 	 3.252541290237034e-06 	 3.252541290237034e-06
27	 19 	 HO 	 OH 	 7.928838877557326e-08 	 7.928838877557326e-08
27	 23 	 HF2 	 HF2 	 0.0015391999305609458 	 0.0015391999305609458
27	 17 	 H2O 	 OH2 	 4.778996380599202e-05 	 4.778996380599202e-05
27	 25 	 Li 	 Li 	 1.604880927482203e-05 	 1.604880927482203e-05
