AE loss	 15 	 16 	 Li 	 Li 	 1.123759655903416e-05
AE loss	 15 	 9 	 HCl 	 ClH 	 3.7556351032165004e-06
AE loss	 15 	 6 	 F2 	 F2 	 9.952866926291434e-06
AE loss	 15 	 12 	 C 	 C 	 6.63879899906349e-05
AE loss	 15 	 0 	 H2 	 H2 	 4.9150500499869e-06
AE loss	 15 	 10 	 HLi 	 LiH 	 4.187110376370297e-06
AE loss	 15 	 2 	 FLi 	 LiF 	 0.00823451416557227
AE loss	 15 	 7 	 C2H2 	 C2H2 	 0.00041876137362892974
AE loss	 15 	 13 	 Cl 	 Cl 	 9.05455862995953e-06
AE loss	 15 	 19 	 O 	 O 	 4.058945272748526e-05
AE loss	 15 	 5 	 Cl2 	 Cl2 	 2.803184610841067e-05
AE loss	 15 	 15 	 H 	 H 	 8.182122889213489e-08
AE loss	 16 	 2 	 FLi 	 LiF 	 0.008200982061575133
AE loss	 16 	 14 	 F 	 F 	 1.8174516289793624e-05
AE loss	 16 	 7 	 C2H2 	 C2H2 	 0.0004094879604900005
AE loss	 16 	 19 	 O 	 O 	 3.716420133337605e-05
AE loss	 16 	 18 	 Na 	 Na 	 2.6531232408660705e-06
AE loss	 16 	 17 	 N 	 N 	 5.837980567686081e-05
AE loss	 16 	 4 	 CO2 	 CO2 	 0.013990936547467647
AE loss	 16 	 1 	 N2 	 N2 	 3.363853503266705e-05
AE loss	 16 	 8 	 CO 	 OC 	 0.0009346017774840577
AE loss	 16 	 16 	 Li 	 Li 	 1.1090169910455936e-05
AE loss	 16 	 9 	 HCl 	 ClH 	 4.223132539076805e-06
AE loss	 16 	 5 	 Cl2 	 Cl2 	 2.8765609177534222e-05
AE loss	 16 	 15 	 H 	 H 	 7.701613680525123e-08
AE loss	 16 	 10 	 HLi 	 LiH 	 3.957441390585275e-06
AE loss	 16 	 13 	 Cl 	 Cl 	 6.302702439337368e-05
AE loss	 16 	 0 	 H2 	 H2 	 4.840078283628267e-06
AE loss	 16 	 12 	 C 	 C 	 6.299263664420599e-05
AE loss	 16 	 6 	 F2 	 F2 	 1.1541059096135752e-05
AE loss	 16 	 11 	 Na2 	 Na2 	 2.912274310106902e-06
AE loss	 16 	 3 	 CHN 	 CNH 	 0.007509983454640776
AE loss	 17 	 1 	 N2 	 N2 	 3.0481333984365156e-05
AE loss	 17 	 0 	 H2 	 H2 	 4.924528244883167e-06
AE loss	 17 	 13 	 Cl 	 Cl 	 1.6813846169463952e-06
AE loss	 17 	 5 	 Cl2 	 Cl2 	 2.928237082083573e-05
AE loss	 17 	 11 	 Na2 	 Na2 	 2.884902416945888e-06
AE loss	 17 	 16 	 Li 	 Li 	 1.4114687794466425e-05
AE loss	 17 	 6 	 F2 	 F2 	 1.2126603153414294e-05
AE loss	 17 	 18 	 Na 	 Na 	 2.2884650384641057e-05
AE loss	 17 	 7 	 C2H2 	 C2H2 	 0.00039165444283724616
AE loss	 17 	 10 	 HLi 	 LiH 	 3.930274073182964e-06
AE loss	 17 	 9 	 HCl 	 ClH 	 3.739384459814961e-06
AE loss	 17 	 3 	 CHN 	 CNH 	 0.007422627213502886
AE loss	 17 	 19 	 O 	 O 	 6.168203206353287e-05
AE loss	 17 	 14 	 F 	 F 	 3.880427617786114e-05
AE loss	 17 	 12 	 C 	 C 	 8.12800190937884e-05
AE loss	 17 	 2 	 FLi 	 LiF 	 0.008110828193573186
AE loss	 17 	 8 	 CO 	 OC 	 0.0009149389830686045
AE loss	 17 	 17 	 N 	 N 	 7.956067438648401e-05
AE loss	 17 	 15 	 H 	 H 	 1.060034654666021e-07
AE loss	 17 	 4 	 CO2 	 CO2 	 0.013728801002252633
AE loss	 18 	 0 	 H2 	 H2 	 3.8942623351109626e-06
AE loss	 18 	 9 	 HCl 	 ClH 	 3.94884542953731e-06
AE loss	 18 	 8 	 CO 	 OC 	 0.0009069389101803204
AE loss	 18 	 3 	 CHN 	 CNH 	 0.007346256154218857
AE loss	 18 	 6 	 F2 	 F2 	 1.2929763973327445e-05
AE loss	 18 	 14 	 F 	 F 	 2.5537542419814163e-05
AE loss	 18 	 7 	 C2H2 	 C2H2 	 0.0003668403048485542
AE loss	 18 	 5 	 Cl2 	 Cl2 	 2.9303750683579795e-05
AE loss	 18 	 11 	 Na2 	 Na2 	 2.5587172773507907e-06
AE loss	 18 	 12 	 C 	 C 	 7.457671482125994e-05
AE loss	 18 	 19 	 O 	 O 	 4.624782409731328e-05
AE loss	 18 	 16 	 Li 	 Li 	 1.3181305718495205e-05
