AE loss	 25 	 10 	 Li 	 Li 	 6.545209854605572e-07
AE loss	 25 	 1 	 N2 	 N2 	 5.315472076155012e-05
AE loss	 26 	 9 	 C 	 C 	 4.716957614838264e-05
AE loss	 26 	 5 	 F 	 F 	 3.668145103881895e-07
AE loss	 26 	 3 	 CHN 	 CNH 	 0.006715798128907586
AE loss	 26 	 4 	 C 	 C 	 8.150991455761648e-06
AE loss	 26 	 7 	 Li 	 Li 	 1.5644392644906986e-06
AE loss	 26 	 10 	 Li 	 Li 	 6.874023916966976e-07
AE loss	 26 	 0 	 H2 	 H2 	 7.4828281548675235e-06
AE loss	 26 	 2 	 FLi 	 LiF 	 0.007991164780147875
AE loss	 26 	 8 	 N 	 N 	 1.7880116955502247e-05
AE loss	 26 	 1 	 N2 	 N2 	 5.0669734376531156e-05
AE loss	 26 	 6 	 H 	 H 	 2.175102311046713e-07
AE loss	 27 	 9 	 C 	 C 	 4.591757376843236e-05
AE loss	 27 	 6 	 H 	 H 	 2.1792097769808237e-07
AE loss	 27 	 2 	 FLi 	 LiF 	 0.007971326648843478
AE loss	 27 	 10 	 Li 	 Li 	 7.196178186924931e-07
AE loss	 27 	 5 	 F 	 F 	 1.9246734839070232e-06
AE loss	 27 	 0 	 H2 	 H2 	 8.08476560393057e-06
AE loss	 27 	 3 	 CHN 	 CNH 	 0.006604641845258561
AE loss	 27 	 8 	 N 	 N 	 1.8817242614747367e-05
AE loss	 27 	 7 	 Li 	 Li 	 1.3753927465501908e-06
AE loss	 27 	 1 	 N2 	 N2 	 4.826903199072582e-05
AE loss	 27 	 4 	 C 	 C 	 1.0443593919440583e-05
AE loss	 28 	 0 	 H2 	 H2 	 8.79271500339637e-06
AE loss	 28 	 10 	 Li 	 Li 	 7.622799439920792e-07
AE loss	 28 	 9 	 C 	 C 	 4.537234021605715e-05
AE loss	 28 	 4 	 C 	 C 	 1.0275818931800588e-05
AE loss	 28 	 6 	 H 	 H 	 2.343866125171615e-07
AE loss	 28 	 1 	 N2 	 N2 	 4.660165071218986e-05
AE loss	 28 	 7 	 Li 	 Li 	 1.5102174467634756e-06
AE loss	 28 	 5 	 F 	 F 	 1.6324750221783272e-06
AE loss	 28 	 3 	 CHN 	 CNH 	 0.006521466428428125
AE loss	 28 	 8 	 N 	 N 	 1.849959856832497e-05
AE loss	 28 	 2 	 FLi 	 LiF 	 0.00789477877809825
AE loss	 29 	 2 	 FLi 	 LiF 	 0.00787348896861831
AE loss	 29 	 7 	 Li 	 Li 	 1.608239497140537e-06
AE loss	 29 	 6 	 H 	 H 	 2.4697643398658955e-07
AE loss	 29 	 9 	 C 	 C 	 4.5035934599203995e-05
AE loss	 29 	 10 	 Li 	 Li 	 8.071714365300403e-07
AE loss	 29 	 4 	 C 	 C 	 1.0052062356296955e-05
AE loss	 29 	 3 	 CHN 	 CNH 	 0.006447165316942878
AE loss	 29 	 8 	 N 	 N 	 1.8871262028620487e-05
AE loss	 29 	 1 	 N2 	 N2 	 4.342564363994523e-05
AE loss	 29 	 5 	 F 	 F 	 1.5515093807234344e-06
AE loss	 29 	 0 	 H2 	 H2 	 1.1527172194427205e-05
AE loss	 30 	 10 	 Li 	 Li 	 8.38996986930254e-07
AE loss	 30 	 8 	 N 	 N 	 1.7935780208660645e-05
AE loss	 30 	 7 	 Li 	 Li 	 1.83796643966119e-06
AE loss	 30 	 2 	 FLi 	 LiF 	 0.007800815825649799
AE loss	 30 	 0 	 H2 	 H2 	 1.2345414661223328e-05
AE loss	 30 	 1 	 N2 	 N2 	 4.123820469575686e-05
AE loss	 30 	 6 	 H 	 H 	 2.592719814946192e-07
AE loss	 30 	 5 	 F 	 F 	 4.035830083452943e-07
AE loss	 30 	 4 	 C 	 C 	 8.395179151296332e-06
AE loss	 30 	 9 	 C 	 C 	 4.483371871078266e-05
AE loss	 30 	 3 	 CHN 	 CNH 	 0.006348475058334776
AE loss	 31 	 6 	 H 	 H 	 2.642437293163865e-07
AE loss	 31 	 0 	 H2 	 H2 	 1.3196277244781823e-05
AE loss	 31 	 10 	 Li 	 Li 	 8.7536311670765e-07
AE loss	 31 	 8 	 N 	 N 	 1.6320805132260754e-05
AE loss	 31 	 3 	 CHN 	 CNH 	 0.006302033894803716
AE loss	 31 	 9 	 C 	 C 	 4.405420871585383e-05
AE loss	 31 	 2 	 FLi 	 LiF 	 0.007734651378738344
AE loss	 31 	 5 	 F 	 F 	 9.64230107957706e-07
AE loss	 31 	 1 	 N2 	 N2 	 3.826182009538378e-05
AE loss	 31 	 7 	 Li 	 Li 	 2.0030550474825865e-06
AE loss	 31 	 4 	 C 	 C 	 9.958581986581428e-06
AE loss	 32 	 9 	 C 	 C 	 4.313138267250106e-05
AE loss	 32 	 5 	 F 	 F 	 1.5062631163651376e-06
AE loss	 32 	 2 	 FLi 	 LiF 	 0.00770125184106317
AE loss	 32 	 8 	 N 	 N 	 1.890332161669781e-05
AE loss	 32 	 1 	 N2 	 N2 	 3.666485551040909e-05
AE loss	 32 	 4 	 C 	 C 	 9.33019265347949e-06
AE loss	 32 	 10 	 Li 	 Li 	 9.547274485921472e-07
AE loss	 32 	 3 	 CHN 	 CNH 	 0.006183578502045468
AE loss	 32 	 0 	 H2 	 H2 	 1.6781250994835966e-05
AE loss	 32 	 6 	 H 	 H 	 2.9807851360644937e-07
AE loss	 32 	 7 	 Li 	 Li 	 2.332955100877949e-06
AE loss	 33 	 9 	 C 	 C 	 4.28462243870346e-05
AE loss	 33 	 0 	 H2 	 H2 	 1.75620679943939e-05
AE loss	 33 	 10 	 Li 	 Li 	 9.883246215467354e-07
AE loss	 33 	 6 	 H 	 H 	 3.116654822138107e-07
AE loss	 33 	 3 	 CHN 	 CNH 	 0.0061165368712708425
AE loss	 33 	 5 	 F 	 F 	 1.6680308326824775e-06
AE loss	 33 	 2 	 FLi 	 LiF 	 0.007617939737645882
AE loss	 33 	 8 	 N 	 N 	 2.1422122437710323e-05
AE loss	 33 	 7 	 Li 	 Li 	 2.1233907514157563e-06
AE loss	 33 	 4 	 C 	 C 	 1.1211647252100324e-05
AE loss	 33 	 1 	 N2 	 N2 	 3.342206504315167e-05
AE loss	 34 	 7 	 Li 	 Li 	 2.1985068802165395e-06
AE loss	 34 	 0 	 H2 	 H2 	 1.9890002320903948e-05
AE loss	 34 	 9 	 C 	 C 	 4.150413313579443e-05
AE loss	 34 	 10 	 Li 	 Li 	 1.0688714677713836e-06
AE loss	 34 	 2 	 FLi 	 LiF 	 0.007593359282601397
AE loss	 34 	 6 	 H 	 H 	 3.4151771282877464e-07
AE loss	 34 	 3 	 CHN 	 CNH 	 0.006015587809650062
AE loss	 34 	 8 	 N 	 N 	 2.3523574158342132e-05
AE loss	 34 	 1 	 N2 	 N2 	 3.266997778404692e-05
AE loss	 34 	 5 	 F 	 F 	 3.622708134020327e-06
AE loss	 34 	 4 	 C 	 C 	 1.2468844264633454e-05
AE loss	 35 	 6 	 H 	 H 	 3.548639633279862e-07
AE loss	 35 	 7 	 Li 	 Li 	 2.213911324996125e-06
AE loss	 35 	 1 	 N2 	 N2 	 3.069430035844327e-05
AE loss	 35 	 2 	 FLi 	 LiF 	 0.007541314321320028
AE loss	 35 	 5 	 F 	 F 	 2.208231492408045e-06
AE loss	 35 	 0 	 H2 	 H2 	 2.281160848238068e-05
