AE loss	 23 	 0 	 H2 	 H2 	 4.355576793418531e-06
AE loss	 23 	 3 	 CHN 	 CNH 	 0.007231920880426295
AE loss	 24 	 1 	 N2 	 N2 	 3.086394259001921e-05
AE loss	 24 	 10 	 Li 	 Li 	 1.3084393099123257e-05
AE loss	 24 	 12 	 O 	 O 	 4.887120020736332e-05
AE loss	 24 	 11 	 N 	 N 	 8.055251362246525e-05
AE loss	 24 	 3 	 CHN 	 CNH 	 0.007186358690298851
AE loss	 24 	 8 	 F 	 F 	 2.1201501184940516e-05
AE loss	 24 	 0 	 H2 	 H2 	 4.210717329493451e-06
AE loss	 24 	 6 	 C 	 C 	 7.582858603026837e-05
AE loss	 24 	 4 	 CO2 	 CO2 	 0.01347520000650917
AE loss	 24 	 9 	 H 	 H 	 1.1527232649194175e-07
AE loss	 24 	 2 	 FLi 	 LiF 	 0.008026918832524993
AE loss	 24 	 5 	 Cl2 	 Cl2 	 1.3989274568595075e-05
AE loss	 24 	 7 	 Cl 	 Cl 	 8.120777707663309e-06
AE loss	 25 	 8 	 F 	 F 	 2.0190361492268805e-05
AE loss	 25 	 12 	 O 	 O 	 4.844709968248726e-05
AE loss	 25 	 10 	 Li 	 Li 	 1.3863538016674307e-05
AE loss	 25 	 6 	 C 	 C 	 7.83309889691965e-05
AE loss	 25 	 9 	 H 	 H 	 1.1982964110228003e-07
AE loss	 25 	 3 	 CHN 	 CNH 	 0.0070921771612893186
AE loss	 25 	 4 	 CO2 	 CO2 	 0.013313634230926468
AE loss	 25 	 1 	 N2 	 N2 	 2.583295054636479e-05
AE loss	 25 	 7 	 Cl 	 Cl 	 7.121985758060384e-06
AE loss	 25 	 2 	 FLi 	 LiF 	 0.00798017298455278
AE loss	 25 	 11 	 N 	 N 	 8.709012046530628e-05
AE loss	 25 	 0 	 H2 	 H2 	 4.125617310320383e-06
AE loss	 25 	 5 	 Cl2 	 Cl2 	 1.5151457705831763e-05
AE loss	 26 	 3 	 CHN 	 CNH 	 0.007025537013865946
AE loss	 26 	 12 	 O 	 O 	 5.661654962118752e-05
AE loss	 26 	 4 	 CO2 	 CO2 	 0.013166104995494962
AE loss	 26 	 6 	 C 	 C 	 8.939969691052388e-05
AE loss	 26 	 10 	 Li 	 Li 	 1.607093407331492e-05
AE loss	 26 	 9 	 H 	 H 	 1.3943735874601753e-07
AE loss	 26 	 11 	 N 	 N 	 9.703704673969156e-05
AE loss	 26 	 0 	 H2 	 H2 	 4.1083837366321125e-06
AE loss	 26 	 5 	 Cl2 	 Cl2 	 1.5975889708527428e-05
AE loss	 26 	 7 	 Cl 	 Cl 	 7.495815117468472e-08
AE loss	 26 	 8 	 F 	 F 	 2.782412912610992e-05
AE loss	 26 	 1 	 N2 	 N2 	 2.120831994203167e-05
AE loss	 26 	 2 	 FLi 	 LiF 	 0.00789789676136338
AE loss	 27 	 5 	 Cl2 	 Cl2 	 1.6129557822891774e-05
AE loss	 27 	 8 	 F 	 F 	 2.3350122079823066e-05
AE loss	 27 	 10 	 Li 	 Li 	 1.6112640668103917e-05
AE loss	 27 	 9 	 H 	 H 	 1.346336753769924e-07
AE loss	 27 	 0 	 H2 	 H2 	 3.913480848347054e-06
AE loss	 27 	 7 	 Cl 	 Cl 	 1.1427884151857804e-05
AE loss	 27 	 2 	 FLi 	 LiF 	 0.007858717645449986
AE loss	 27 	 6 	 C 	 C 	 8.445698164634859e-05
AE loss	 27 	 3 	 CHN 	 CNH 	 0.006922243447380447
AE loss	 27 	 4 	 CO2 	 CO2 	 0.012964266369506549
AE loss	 27 	 12 	 O 	 O 	 4.979858417253234e-05
AE loss	 27 	 1 	 N2 	 N2 	 1.9952071786252705e-05
AE loss	 27 	 11 	 N 	 N 	 8.910128653511786e-05
AE loss	 28 	 7 	 Cl 	 Cl 	 5.617852508781727e-06
AE loss	 28 	 1 	 N2 	 N2 	 1.933974234491344e-05
AE loss	 28 	 3 	 CHN 	 CNH 	 0.00687372731748805
AE loss	 28 	 11 	 N 	 N 	 9.267373900129227e-05
AE loss	 28 	 0 	 H2 	 H2 	 3.657444157782437e-06
AE loss	 28 	 9 	 H 	 H 	 1.4817109600024642e-07
AE loss	 28 	 5 	 Cl2 	 Cl2 	 1.7005258354896894e-05
AE loss	 28 	 6 	 C 	 C 	 9.14861898681908e-05
AE loss	 28 	 2 	 FLi 	 LiF 	 0.007796596905835476
AE loss	 28 	 4 	 CO2 	 CO2 	 0.012834225374015379
AE loss	 28 	 12 	 O 	 O 	 5.487912265985126e-05
AE loss	 28 	 8 	 F 	 F 	 2.2986599963374727e-05
AE loss	 28 	 10 	 Li 	 Li 	 1.7132953326198268e-05
AE loss	 29 	 7 	 Cl 	 Cl 	 3.291413712739061e-06
AE loss	 29 	 0 	 H2 	 H2 	 3.455748513857453e-06
AE loss	 29 	 11 	 N 	 N 	 9.218333956987239e-05
AE loss	 29 	 1 	 N2 	 N2 	 1.6094658652008482e-05
AE loss	 29 	 5 	 Cl2 	 Cl2 	 1.7668561348416014e-05
AE loss	 29 	 12 	 O 	 O 	 4.905581825162676e-05
AE loss	 29 	 9 	 H 	 H 	 1.483729412472747e-07
AE loss	 29 	 10 	 Li 	 Li 	 1.683906632341832e-05
AE loss	 29 	 8 	 F 	 F 	 1.4352619585537892e-05
AE loss	 29 	 2 	 FLi 	 LiF 	 0.007730108326081095
AE loss	 29 	 3 	 CHN 	 CNH 	 0.006781776113539051
AE loss	 29 	 6 	 C 	 C 	 8.166264119911861e-05
AE loss	 29 	 4 	 CO2 	 CO2 	 0.01269821603048448
AE loss	 30 	 12 	 O 	 O 	 3.778986737240995e-05
AE loss	 30 	 6 	 C 	 C 	 8.043825728896652e-05
AE loss	 30 	 2 	 FLi 	 LiF 	 0.007713989835606417
AE loss	 30 	 10 	 Li 	 Li 	 1.603673620819889e-05
AE loss	 30 	 5 	 Cl2 	 Cl2 	 1.802956904121254e-05
AE loss	 30 	 11 	 N 	 N 	 7.190689142362553e-05
AE loss	 30 	 9 	 H 	 H 	 1.3703544290510116e-07
AE loss	 30 	 7 	 Cl 	 Cl 	 8.005899715533852e-05
AE loss	 30 	 1 	 N2 	 N2 	 1.3662443747335205e-05
AE loss	 30 	 0 	 H2 	 H2 	 2.924100901613751e-06
