#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
49	 24 	 C 	 C 	 3.984431726507443e-05 	 3.984431726507443e-05
49	 0 	 H2 	 H2 	 7.573521791568277e-08 	 7.573521791568277e-08
49	 22 	 CH4O 	 CH4O 	 0.00024810520827537116 	 0.00024810520827537116
49	 8 	 HLi 	 LiH 	 8.487324883313195e-11 	 8.487324883313195e-11
49	 18 	 H3N 	 NH3 	 0.0005562917159000181 	 0.0005562917159000181
49	 9 	 Na2 	 Na2 	 3.24698664011776e-08 	 3.24698664011776e-08
49	 17 	 H2O 	 OH2 	 0.00023987279215986556 	 0.00023987279215986556
49	 15 	 CH3 	 CH3 	 1.633114869429053e-05 	 1.633114869429053e-05
50	 3 	 CHN 	 CNH 	 0.0039547055351452365 	 0.0039547055351452365
50	 0 	 H2 	 H2 	 6.611529469433444e-08 	 6.611529469433444e-08
50	 17 	 H2O 	 OH2 	 0.00024047913674467145 	 0.00024047913674467145
50	 12 	 HN 	 NH 	 0.0011441040917464116 	 0.0011441040917464116
50	 2 	 FLi 	 LiF 	 0.007164174953036687 	 0.007164174953036687
50	 14 	 N2O 	 N2O 	 0.0037355365458010374 	 0.0037355365458010374
50	 7 	 CO 	 OC 	 0.0003864986151959613 	 0.0003864986151959613
50	 24 	 C 	 C 	 4.072404671558576e-05 	 4.072404671558576e-05
50	 20 	 CH 	 CH 	 2.444462444355371e-06 	 2.444462444355371e-06
50	 22 	 CH4O 	 CH4O 	 0.00024883376851349634 	 0.00024883376851349634
50	 6 	 C2H2 	 C2H2 	 0.00015835100545696674 	 0.00015835100545696674
50	 9 	 Na2 	 Na2 	 4.143918973922748e-08 	 4.143918973922748e-08
50	 10 	 NO 	 NO 	 9.274735946256091e-05 	 9.274735946256091e-05
50	 23 	 HF2 	 HF2 	 0.002612590932524713 	 0.002612590932524713
50	 15 	 CH3 	 CH3 	 1.6573340447426573e-05 	 1.6573340447426573e-05
50	 25 	 Li 	 Li 	 3.598931409822016e-05 	 3.598931409822016e-05
50	 5 	 F2 	 F2 	 0.00020092779489599725 	 0.00020092779489599725
50	 4 	 CO2 	 CO2 	 0.0072299158738313215 	 0.0072299158738313215
50	 21 	 HN2O 	 HON2 	 0.004469786047044564 	 0.004469786047044564
50	 19 	 HO 	 OH 	 1.4022222744391148e-05 	 1.4022222744391148e-05
50	 16 	 CH2 	 CH2 	 0.0030361622080768806 	 0.0030361622080768806
50	 1 	 N2 	 N2 	 5.690021523733378e-07 	 5.690021523733378e-07
50	 11 	 NO2 	 NO2 	 0.004821448503972555 	 0.004821448503972555
50	 18 	 H3N 	 NH3 	 0.0005607787496945217 	 0.0005607787496945217
50	 13 	 O3 	 O3 	 0.004099129932498223 	 0.004099129932498223
50	 8 	 HLi 	 LiH 	 1.1238879953618738e-10 	 1.1238879953618738e-10
51	 6 	 C2H2 	 C2H2 	 0.00015001580441802495 	 0.00015001580441802495
51	 15 	 CH3 	 CH3 	 1.6823237684450838e-05 	 1.6823237684450838e-05
51	 17 	 H2O 	 OH2 	 0.00024054455442567955 	 0.00024054455442567955
51	 16 	 CH2 	 CH2 	 0.003043254273716949 	 0.003043254273716949
51	 13 	 O3 	 O3 	 0.004104406279903904 	 0.004104406279903904
51	 21 	 HN2O 	 HON2 	 0.004492076734201854 	 0.004492076734201854
51	 5 	 F2 	 F2 	 0.00020317900228222812 	 0.00020317900228222812
51	 25 	 Li 	 Li 	 3.954023142453497e-05 	 3.954023142453497e-05
51	 1 	 N2 	 N2 	 6.062626267715136e-07 	 6.062626267715136e-07
51	 10 	 NO 	 NO 	 9.443893672917942e-05 	 9.443893672917942e-05
51	 0 	 H2 	 H2 	 3.974551734608553e-08 	 3.974551734608553e-08
51	 3 	 CHN 	 CNH 	 0.003920921779721512 	 0.003920921779721512
51	 22 	 CH4O 	 CH4O 	 0.0002500471801869251 	 0.0002500471801869251
51	 7 	 CO 	 OC 	 0.0003804464661664031 	 0.0003804464661664031
51	 2 	 FLi 	 LiF 	 0.007130024394696935 	 0.007130024394696935
51	 4 	 CO2 	 CO2 	 0.007190656052909016 	 0.007190656052909016
51	 20 	 CH 	 CH 	 2.4053025544937463e-06 	 2.4053025544937463e-06
51	 9 	 Na2 	 Na2 	 4.7357927572628874e-08 	 4.7357927572628874e-08
51	 12 	 HN 	 NH 	 0.0011623001254367099 	 0.0011623001254367099
51	 18 	 H3N 	 NH3 	 0.0005643359282238492 	 0.0005643359282238492
51	 24 	 C 	 C 	 4.26741210163195e-05 	 4.26741210163195e-05
51	 19 	 HO 	 OH 	 1.4203088179995157e-05 	 1.4203088179995157e-05
51	 14 	 N2O 	 N2O 	 0.003831449250345263 	 0.003831449250345263
51	 11 	 NO2 	 NO2 	 0.0048788349372629195 	 0.0048788349372629195
51	 23 	 HF2 	 HF2 	 0.0026365318246383516 	 0.0026365318246383516
51	 8 	 HLi 	 LiH 	 9.242578600247138e-11 	 9.242578600247138e-11
52	 22 	 CH4O 	 CH4O 	 0.00025152503648505256 	 0.00025152503648505256
52	 6 	 C2H2 	 C2H2 	 0.00015266641036384024 	 0.00015266641036384024
52	 14 	 N2O 	 N2O 	 0.0038456181607647 	 0.0038456181607647
52	 20 	 CH 	 CH 	 2.4497208561501085e-06 	 2.4497208561501085e-06
52	 4 	 CO2 	 CO2 	 0.0071120725562417745 	 0.0071120725562417745
52	 10 	 NO 	 NO 	 9.706290807774569e-05 	 9.706290807774569e-05
52	 5 	 F2 	 F2 	 0.00020768751718870014 	 0.00020768751718870014
52	 7 	 CO 	 OC 	 0.0003720468489702038 	 0.0003720468489702038
52	 15 	 CH3 	 CH3 	 1.826600038219629e-05 	 1.826600038219629e-05
52	 17 	 H2O 	 OH2 	 0.00024184616672674744 	 0.00024184616672674744
52	 21 	 HN2O 	 HON2 	 0.00455877797424503 	 0.00455877797424503
52	 12 	 HN 	 NH 	 0.0011820519416108795 	 0.0011820519416108795
52	 23 	 HF2 	 HF2 	 0.0026510051292573506 	 0.0026510051292573506
52	 1 	 N2 	 N2 	 1.0284476398588345e-06 	 1.0284476398588345e-06
52	 16 	 CH2 	 CH2 	 0.0030698997165707815 	 0.0030698997165707815
52	 11 	 NO2 	 NO2 	 0.0049611632973774996 	 0.0049611632973774996
52	 13 	 O3 	 O3 	 0.004229604806016795 	 0.004229604806016795
52	 19 	 HO 	 OH 	 1.4500486171475379e-05 	 1.4500486171475379e-05
52	 9 	 Na2 	 Na2 	 7.222309280057586e-08 	 7.222309280057586e-08
52	 18 	 H3N 	 NH3 	 0.0005726372759281673 	 0.0005726372759281673
52	 0 	 H2 	 H2 	 2.3284701191806125e-08 	 2.3284701191806125e-08
52	 2 	 FLi 	 LiF 	 0.00710981129750589 	 0.00710981129750589
52	 25 	 Li 	 Li 	 4.114581751267728e-05 	 4.114581751267728e-05
52	 8 	 HLi 	 LiH 	 1.973183280221549e-09 	 1.973183280221549e-09
52	 3 	 CHN 	 CNH 	 0.0038723617091951977 	 0.0038723617091951977
52	 24 	 C 	 C 	 4.550978444689675e-05 	 4.550978444689675e-05
53	 25 	 Li 	 Li 	 4.1041974149766464e-05 	 4.1041974149766464e-05
53	 18 	 H3N 	 NH3 	 0.0005734522229792774 	 0.0005734522229792774
53	 6 	 C2H2 	 C2H2 	 0.00014723108276039373 	 0.00014723108276039373
53	 22 	 CH4O 	 CH4O 	 0.0002535971462942896 	 0.0002535971462942896
53	 21 	 HN2O 	 HON2 	 0.004577134989413783 	 0.004577134989413783
53	 2 	 FLi 	 LiF 	 0.0070948821814066105 	 0.0070948821814066105
53	 8 	 HLi 	 LiH 	 9.752060014155767e-11 	 9.752060014155767e-11
53	 16 	 CH2 	 CH2 	 0.0030693385512656464 	 0.0030693385512656464
