#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
58	 12 	 HN 	 NH 	 0.0008512560842180374 	 0.0008512560842180374
58	 17 	 H2O 	 OH2 	 0.00025364421847148176 	 0.00025364421847148176
58	 25 	 Li 	 Li 	 6.086474244322408e-06 	 6.086474244322408e-06
58	 22 	 CH4O 	 CH4O 	 0.00012002571942953103 	 0.00012002571942953103
58	 15 	 CH3 	 CH3 	 1.1875874253366523e-08 	 1.1875874253366523e-08
58	 0 	 H2 	 H2 	 4.122107560140448e-06 	 4.122107560140448e-06
58	 20 	 CH 	 CH 	 9.042582025965136e-08 	 9.042582025965136e-08
58	 14 	 N2O 	 N2O 	 0.003343292264342848 	 0.003343292264342848
58	 4 	 CO2 	 CO2 	 0.00825063287775114 	 0.00825063287775114
58	 5 	 F2 	 F2 	 0.00014167583306086236 	 0.00014167583306086236
58	 9 	 Na2 	 Na2 	 3.298137476444449e-06 	 3.298137476444449e-06
58	 3 	 CHN 	 CNH 	 0.0029056950939043433 	 0.0029056950939043433
58	 2 	 FLi 	 LiF 	 0.00748271959913626 	 0.00748271959913626
58	 10 	 NO 	 NO 	 1.586592545582816e-05 	 1.586592545582816e-05
58	 1 	 N2 	 N2 	 4.927099112852863e-06 	 4.927099112852863e-06
58	 16 	 CH2 	 CH2 	 0.0028348744737265842 	 0.0028348744737265842
59	 22 	 CH4O 	 CH4O 	 0.00012010755263115412 	 0.00012010755263115412
59	 9 	 Na2 	 Na2 	 3.2846171772734563e-06 	 3.2846171772734563e-06
59	 3 	 CHN 	 CNH 	 0.002904042438499832 	 0.002904042438499832
59	 1 	 N2 	 N2 	 4.952699729574647e-06 	 4.952699729574647e-06
59	 8 	 HLi 	 LiH 	 8.283416145000843e-06 	 8.283416145000843e-06
59	 0 	 H2 	 H2 	 4.49672070127933e-06 	 4.49672070127933e-06
59	 21 	 HN2O 	 HON2 	 0.0028711683685162044 	 0.0028711683685162044
59	 13 	 O3 	 O3 	 0.002556323517485091 	 0.002556323517485091
59	 14 	 N2O 	 N2O 	 0.0033483021582733506 	 0.0033483021582733506
59	 23 	 HF2 	 HF2 	 0.0017483460030493585 	 0.0017483460030493585
59	 18 	 H3N 	 NH3 	 0.0005252296511178646 	 0.0005252296511178646
59	 12 	 HN 	 NH 	 0.0008516841995640904 	 0.0008516841995640904
59	 7 	 CO 	 OC 	 0.0004044615338751363 	 0.0004044615338751363
59	 10 	 NO 	 NO 	 1.590241048687954e-05 	 1.590241048687954e-05
59	 16 	 CH2 	 CH2 	 0.0028333422999787675 	 0.0028333422999787675
59	 11 	 NO2 	 NO2 	 0.003342430627833127 	 0.003342430627833127
59	 2 	 FLi 	 LiF 	 0.007496694745971583 	 0.007496694745971583
