AE loss	 10 	 30 	 Na 	 Na 	 3.2980957382115526e-05
AE loss	 10 	 24 	 C 	 C 	 7.276157345904918e-05
AE loss	 10 	 13 	 NO 	 NO 	 4.336895746860368e-06
AE loss	 10 	 21 	 H3N 	 NH3 	 3.2340467173446905e-07
AE loss	 10 	 0 	 H2 	 H2 	 4.7426482591569e-06
AE loss	 10 	 31 	 O 	 O 	 5.258216563297426e-05
AE loss	 10 	 17 	 N2O 	 N2O 	 0.0006554295879997882
AE loss	 10 	 1 	 N2 	 N2 	 4.515262411802075e-05
AE loss	 11 	 27 	 H 	 H 	 1.1827994939818439e-07
AE loss	 11 	 8 	 C2H2 	 C2H2 	 0.0004292725139934915
AE loss	 11 	 1 	 N2 	 N2 	 4.4696722090579164e-05
AE loss	 11 	 2 	 FLi 	 LiF 	 0.008379199482804207
AE loss	 11 	 12 	 Na2 	 Na2 	 2.3379747744579463e-06
AE loss	 11 	 14 	 NO2 	 NO2 	 0.0011796503089853854
AE loss	 11 	 23 	 CH 	 CH 	 1.440999385128586e-06
AE loss	 11 	 22 	 HO 	 OH 	 6.379324702671925e-06
AE loss	 11 	 9 	 CO 	 OC 	 0.0009696276576902894
AE loss	 11 	 29 	 N 	 N 	 5.5852984842140897e-05
AE loss	 11 	 37 	 Li 	 Li 	 9.694050174013522e-09
AE loss	 11 	 28 	 Li 	 Li 	 1.040693217358432e-05
AE loss	 11 	 4 	 CO2 	 CO2 	 0.014273818398759009
AE loss	 11 	 15 	 HN 	 NH 	 3.038680232230497e-05
AE loss	 11 	 31 	 O 	 O 	 3.9340343028570785e-05
AE loss	 11 	 17 	 N2O 	 N2O 	 0.0007024051842083061
AE loss	 11 	 0 	 H2 	 H2 	 4.597493682292515e-06
AE loss	 11 	 30 	 Na 	 Na 	 6.745772335107106e-06
AE loss	 11 	 19 	 CH2 	 CH2 	 0.00018627609826943272
AE loss	 11 	 35 	 HF2 	 HF2 	 0.0009545326757871545
AE loss	 11 	 36 	 C 	 C 	 6.334920060555127e-05
AE loss	 11 	 13 	 NO 	 NO 	 5.977060342684635e-06
AE loss	 11 	 16 	 O3 	 O3 	 0.0005443913257716406
AE loss	 11 	 3 	 CHN 	 CNH 	 0.007794967422739359
AE loss	 11 	 6 	 F2 	 F2 	 1.1242561204739683e-05
AE loss	 11 	 24 	 C 	 C 	 6.405173566569572e-05
AE loss	 11 	 26 	 F 	 F 	 2.1232946881297646e-05
AE loss	 11 	 21 	 H3N 	 NH3 	 2.306590089070519e-06
AE loss	 11 	 11 	 HLi 	 LiH 	 3.882330839518445e-06
AE loss	 11 	 20 	 H2O 	 OH2 	 8.059456122971392e-08
AE loss	 11 	 25 	 Cl 	 Cl 	 2.554660234001857e-05
AE loss	 11 	 18 	 CH3 	 CH3 	 0.00014538482158149481
AE loss	 12 	 4 	 CO2 	 CO2 	 0.01404835951690222
AE loss	 12 	 0 	 H2 	 H2 	 4.67319013238169e-06
AE loss	 12 	 31 	 O 	 O 	 5.085813248244393e-05
AE loss	 12 	 20 	 H2O 	 OH2 	 5.102748861379073e-09
AE loss	 12 	 13 	 NO 	 NO 	 6.880036231455319e-06
AE loss	 12 	 27 	 H 	 H 	 1.466880840085125e-07
AE loss	 12 	 8 	 C2H2 	 C2H2 	 0.0003967222252948662
AE loss	 12 	 9 	 CO 	 OC 	 0.0009325871453136382
AE loss	 12 	 25 	 Cl 	 Cl 	 4.5689122150227056e-08
AE loss	 12 	 6 	 F2 	 F2 	 1.2951593999291027e-05
AE loss	 12 	 1 	 N2 	 N2 	 3.429067087878342e-05
