AE loss	 8 	 7 	 C2H2 	 C2H2 	 0.0005634455182636943
AE loss	 8 	 18 	 CH2 	 CH2 	 0.00014619410804057493
AE loss	 8 	 0 	 H2 	 H2 	 3.881403822664954e-06
AE loss	 8 	 29 	 O 	 O 	 2.1141322712964963e-05
AE loss	 8 	 4 	 CO2 	 CO2 	 0.015545022771925302
AE loss	 8 	 2 	 FLi 	 LiF 	 0.008692576219649004
AE loss	 8 	 27 	 N 	 N 	 3.462627622220772e-05
AE loss	 8 	 11 	 Na2 	 Na2 	 2.7014308079513333e-06
AE loss	 8 	 19 	 H2O 	 OH2 	 4.382592230576886e-06
AE loss	 8 	 15 	 O3 	 O3 	 0.0002753925441848402
AE loss	 8 	 6 	 F2 	 F2 	 3.906027075124777e-06
AE loss	 8 	 12 	 NO 	 NO 	 6.739575474241019e-07
AE loss	 8 	 21 	 HO 	 OH 	 4.706159475209745e-06
AE loss	 8 	 13 	 NO2 	 NO2 	 0.0008418629571672105
AE loss	 8 	 3 	 CHN 	 CNH 	 0.008240557467356975
AE loss	 8 	 10 	 HLi 	 LiH 	 4.1918877104319895e-06
AE loss	 8 	 22 	 C 	 C 	 3.633592396590117e-05
AE loss	 8 	 20 	 H3N 	 NH3 	 6.000147048764796e-07
AE loss	 8 	 14 	 HN 	 NH 	 2.3313600012921962e-05
AE loss	 8 	 24 	 F 	 F 	 8.314530295933256e-06
AE loss	 8 	 16 	 N2O 	 N2O 	 0.00041498474598936736
AE loss	 8 	 17 	 CH3 	 CH3 	 0.00010728501637566745
AE loss	 8 	 1 	 N2 	 N2 	 6.523724000115812e-05
AE loss	 9 	 24 	 F 	 F 	 7.846820516473776e-06
AE loss	 9 	 29 	 O 	 O 	 2.045592701681847e-05
AE loss	 9 	 17 	 CH3 	 CH3 	 0.00010935925141544203
AE loss	 9 	 6 	 F2 	 F2 	 4.507194777433965e-06
AE loss	 9 	 22 	 C 	 C 	 3.447019398063608e-05
AE loss	 9 	 12 	 NO 	 NO 	 9.548178604406455e-07
AE loss	 9 	 15 	 O3 	 O3 	 0.00030334482951337285
AE loss	 9 	 4 	 CO2 	 CO2 	 0.015242263427959316
AE loss	 9 	 16 	 N2O 	 N2O 	 0.0004300019647272663
AE loss	 9 	 28 	 Na 	 Na 	 8.09063251132545e-08
AE loss	 9 	 11 	 Na2 	 Na2 	 2.7479775582406326e-06
AE loss	 9 	 7 	 C2H2 	 C2H2 	 0.0005123004602418116
AE loss	 9 	 10 	 HLi 	 LiH 	 4.068506747106641e-06
AE loss	 9 	 21 	 HO 	 OH 	 5.005010413728797e-06
AE loss	 9 	 2 	 FLi 	 LiF 	 0.008548375340614946
AE loss	 9 	 26 	 Li 	 Li 	 5.938152229154326e-06
AE loss	 9 	 1 	 N2 	 N2 	 6.079660369343225e-05
AE loss	 9 	 23 	 Cl 	 Cl 	 6.194564783382412e-05
AE loss	 9 	 5 	 Cl2 	 Cl2 	 1.726153913693104e-05
AE loss	 9 	 27 	 N 	 N 	 4.28555002968334e-05
AE loss	 9 	 14 	 HN 	 NH 	 2.4073197170062698e-05
AE loss	 9 	 13 	 NO2 	 NO2 	 0.000944727433664678
AE loss	 9 	 18 	 CH2 	 CH2 	 0.00015403472673308394
AE loss	 9 	 19 	 H2O 	 OH2 	 3.5867642330733783e-06
AE loss	 9 	 3 	 CHN 	 CNH 	 0.00806388313608138
AE loss	 9 	 8 	 CO 	 OC 	 0.0010456414292548373
AE loss	 9 	 20 	 H3N 	 NH3 	 7.079947271678256e-07
AE loss	 9 	 25 	 H 	 H 	 7.509401519122245e-08
AE loss	 9 	 0 	 H2 	 H2 	 4.692480219889062e-06
AE loss	 9 	 9 	 HCl 	 ClH 	 2.217269220905446e-06
AE loss	 10 	 2 	 FLi 	 LiF 	 0.008531254784210384
AE loss	 10 	 16 	 N2O 	 N2O 	 0.000496586608610889
AE loss	 10 	 10 	 HLi 	 LiH 	 4.275712305734676e-06
AE loss	 10 	 3 	 CHN 	 CNH 	 0.007966212089969836
AE loss	 10 	 14 	 HN 	 NH 	 2.3505411568338207e-05
AE loss	 10 	 19 	 H2O 	 OH2 	 5.339331205634377e-06
AE loss	 10 	 7 	 C2H2 	 C2H2 	 0.0005020009441719282
AE loss	 10 	 17 	 CH3 	 CH3 	 9.893006222322781e-05
AE loss	 10 	 11 	 Na2 	 Na2 	 2.807611711384054e-06
AE loss	 10 	 15 	 O3 	 O3 	 0.00037297152615091737
AE loss	 10 	 9 	 HCl 	 ClH 	 2.0511827408680923e-06
AE loss	 10 	 23 	 Cl 	 Cl 	 0.00010092079039870356
AE loss	 10 	 12 	 NO 	 NO 	 1.9050025025795494e-06
AE loss	 10 	 8 	 CO 	 OC 	 0.0010309149741793606
AE loss	 10 	 20 	 H3N 	 NH3 	 5.440037007758171e-07
AE loss	 10 	 1 	 N2 	 N2 	 5.362770670461446e-05
AE loss	 10 	 25 	 H 	 H 	 8.344477855235102e-08
AE loss	 10 	 22 	 C 	 C 	 5.7123782989963016e-05
AE loss	 10 	 26 	 Li 	 Li 	 7.941207779910987e-06
AE loss	 10 	 5 	 Cl2 	 Cl2 	 1.66637710397623e-05
AE loss	 10 	 27 	 N 	 N 	 5.431408336697873e-05
AE loss	 10 	 0 	 H2 	 H2 	 3.5832068168252947e-06
AE loss	 10 	 28 	 Na 	 Na 	 6.907487891980767e-06
AE loss	 10 	 24 	 F 	 F 	 1.2805366025731643e-05
AE loss	 10 	 21 	 HO 	 OH 	 5.261222963006006e-06
AE loss	 10 	 13 	 NO2 	 NO2 	 0.0009930125550521043
AE loss	 10 	 4 	 CO2 	 CO2 	 0.014829986476458007
