#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
72	 21 	 HN2O 	 HON2 	 0.004780946942499112 	 0.004780946942499112
72	 14 	 N2O 	 N2O 	 0.0038374088480580605 	 0.0038374088480580605
72	 7 	 CO 	 OC 	 0.0003494648544304234 	 0.0003494648544304234
72	 24 	 C 	 C 	 2.92233512261327e-05 	 2.92233512261327e-05
72	 10 	 NO 	 NO 	 0.00011137059643650004 	 0.00011137059643650004
72	 0 	 H2 	 H2 	 7.867817397982904e-08 	 7.867817397982904e-08
72	 18 	 H3N 	 NH3 	 0.0006591516675739934 	 0.0006591516675739934
72	 3 	 CHN 	 CNH 	 0.003485968130362094 	 0.003485968130362094
72	 1 	 N2 	 N2 	 2.1129687918213665e-06 	 2.1129687918213665e-06
72	 20 	 CH 	 CH 	 3.4031076932912535e-06 	 3.4031076932912535e-06
72	 9 	 Na2 	 Na2 	 1.5664239993259716e-05 	 1.5664239993259716e-05
73	 7 	 CO 	 OC 	 0.0003471930047243315 	 0.0003471930047243315
73	 9 	 Na2 	 Na2 	 1.568474147066024e-05 	 1.568474147066024e-05
73	 19 	 HO 	 OH 	 1.2872282768780089e-05 	 1.2872282768780089e-05
73	 23 	 HF2 	 HF2 	 0.0030093616157149863 	 0.0030093616157149863
73	 13 	 O3 	 O3 	 0.004737164299671751 	 0.004737164299671751
73	 21 	 HN2O 	 HON2 	 0.004803084458221458 	 0.004803084458221458
73	 11 	 NO2 	 NO2 	 0.005117306440491923 	 0.005117306440491923
73	 3 	 CHN 	 CNH 	 0.0034690771312852115 	 0.0034690771312852115
73	 17 	 H2O 	 OH2 	 0.00025049019376593973 	 0.00025049019376593973
73	 24 	 C 	 C 	 2.945658260825092e-05 	 2.945658260825092e-05
73	 15 	 CH3 	 CH3 	 3.9048424380953654e-05 	 3.9048424380953654e-05
73	 16 	 CH2 	 CH2 	 0.003294398348217216 	 0.003294398348217216
73	 6 	 C2H2 	 C2H2 	 0.00014314138956795887 	 0.00014314138956795887
73	 25 	 Li 	 Li 	 4.5811739670386646e-05 	 4.5811739670386646e-05
73	 20 	 CH 	 CH 	 3.361257269754341e-06 	 3.361257269754341e-06
73	 8 	 HLi 	 LiH 	 5.817038202936304e-07 	 5.817038202936304e-07
73	 4 	 CO2 	 CO2 	 0.006582309939333275 	 0.006582309939333275
73	 18 	 H3N 	 NH3 	 0.0006658230962262138 	 0.0006658230962262138
73	 5 	 F2 	 F2 	 0.0002413590829171263 	 0.0002413590829171263
73	 0 	 H2 	 H2 	 6.754645620240345e-08 	 6.754645620240345e-08
73	 10 	 NO 	 NO 	 0.00011318623330063044 	 0.00011318623330063044
73	 14 	 N2O 	 N2O 	 0.00388470922821334 	 0.00388470922821334
73	 22 	 CH4O 	 CH4O 	 0.0002816910452358278 	 0.0002816910452358278
73	 1 	 N2 	 N2 	 2.3815751029175737e-06 	 2.3815751029175737e-06
73	 12 	 HN 	 NH 	 0.0011988760066759347 	 0.0011988760066759347
73	 2 	 FLi 	 LiF 	 0.007023738174531011 	 0.007023738174531011
74	 8 	 HLi 	 LiH 	 5.80840671900478e-07 	 5.80840671900478e-07
74	 15 	 CH3 	 CH3 	 4.029024905400868e-05 	 4.029024905400868e-05
74	 25 	 Li 	 Li 	 4.14264221871416e-05 	 4.14264221871416e-05
74	 14 	 N2O 	 N2O 	 0.003890850041346502 	 0.003890850041346502
74	 16 	 CH2 	 CH2 	 0.003305907767433099 	 0.003305907767433099
74	 20 	 CH 	 CH 	 3.398848245502658e-06 	 3.398848245502658e-06
74	 1 	 N2 	 N2 	 2.414550757971949e-06 	 2.414550757971949e-06
74	 2 	 FLi 	 LiF 	 0.007032014121455524 	 0.007032014121455524
74	 11 	 NO2 	 NO2 	 0.0051475113635874575 	 0.0051475113635874575
74	 6 	 C2H2 	 C2H2 	 0.00013744156780907938 	 0.00013744156780907938
74	 24 	 C 	 C 	 3.0593087129298104e-05 	 3.0593087129298104e-05
74	 23 	 HF2 	 HF2 	 0.0030238197763234964 	 0.0030238197763234964
74	 3 	 CHN 	 CNH 	 0.0034447472787008998 	 0.0034447472787008998
74	 19 	 HO 	 OH 	 1.3298369761490392e-05 	 1.3298369761490392e-05
74	 5 	 F2 	 F2 	 0.000243128792740748 	 0.000243128792740748
74	 7 	 CO 	 OC 	 0.00034213776739480456 	 0.00034213776739480456
74	 17 	 H2O 	 OH2 	 0.00025397170918020596 	 0.00025397170918020596
74	 22 	 CH4O 	 CH4O 	 0.0002818014138418376 	 0.0002818014138418376
74	 13 	 O3 	 O3 	 0.004786667491424812 	 0.004786667491424812
74	 10 	 NO 	 NO 	 0.0001135702212140701 	 0.0001135702212140701
74	 21 	 HN2O 	 HON2 	 0.0048420355646234 	 0.0048420355646234
74	 18 	 H3N 	 NH3 	 0.0006742412155903174 	 0.0006742412155903174
74	 12 	 HN 	 NH 	 0.0012087061094915362 	 0.0012087061094915362
74	 4 	 CO2 	 CO2 	 0.006537031838487538 	 0.006537031838487538
74	 0 	 H2 	 H2 	 5.5195305833960403e-08 	 5.5195305833960403e-08
74	 9 	 Na2 	 Na2 	 1.6802519326448476e-05 	 1.6802519326448476e-05
75	 18 	 H3N 	 NH3 	 0.0006767873722156948 	 0.0006767873722156948
75	 12 	 HN 	 NH 	 0.0012111979746652016 	 0.0012111979746652016
75	 15 	 CH3 	 CH3 	 4.193886890419455e-05 	 4.193886890419455e-05
75	 11 	 NO2 	 NO2 	 0.005172726283505266 	 0.005172726283505266
75	 23 	 HF2 	 HF2 	 0.0030357098345911663 	 0.0030357098345911663
75	 14 	 N2O 	 N2O 	 0.0039206760501018035 	 0.0039206760501018035
75	 2 	 FLi 	 LiF 	 0.0070085632427319714 	 0.0070085632427319714
75	 8 	 HLi 	 LiH 	 5.59473880505166e-07 	 5.59473880505166e-07
75	 25 	 Li 	 Li 	 4.628624009150695e-05 	 4.628624009150695e-05
75	 13 	 O3 	 O3 	 0.004816536450841603 	 0.004816536450841603
75	 16 	 CH2 	 CH2 	 0.0033215151706816053 	 0.0033215151706816053
75	 1 	 N2 	 N2 	 2.2861103161929657e-06 	 2.2861103161929657e-06
75	 5 	 F2 	 F2 	 0.00024525906230053724 	 0.00024525906230053724
75	 3 	 CHN 	 CNH 	 0.003420361054946796 	 0.003420361054946796
75	 6 	 C2H2 	 C2H2 	 0.00014154789611190178 	 0.00014154789611190178
75	 0 	 H2 	 H2 	 1.907628244213069e-08 	 1.907628244213069e-08
75	 20 	 CH 	 CH 	 3.3900770964609967e-06 	 3.3900770964609967e-06
75	 22 	 CH4O 	 CH4O 	 0.0002823289273413955 	 0.0002823289273413955
75	 4 	 CO2 	 CO2 	 0.006511939309212118 	 0.006511939309212118
75	 7 	 CO 	 OC 	 0.0003394594256546267 	 0.0003394594256546267
75	 19 	 HO 	 OH 	 1.3492380570897408e-05 	 1.3492380570897408e-05
75	 9 	 Na2 	 Na2 	 1.7068485219100085e-05 	 1.7068485219100085e-05
75	 21 	 HN2O 	 HON2 	 0.00487250444978472 	 0.00487250444978472
75	 17 	 H2O 	 OH2 	 0.00025486976699219406 	 0.00025486976699219406
75	 24 	 C 	 C 	 3.1615836637948924e-05 	 3.1615836637948924e-05
75	 10 	 NO 	 NO 	 0.00011607206659511543 	 0.00011607206659511543
76	 6 	 C2H2 	 C2H2 	 0.00013520574110381878 	 0.00013520574110381878
76	 2 	 FLi 	 LiF 	 0.006994963775282992 	 0.006994963775282992
76	 23 	 HF2 	 HF2 	 0.003049102059322044 	 0.003049102059322044
76	 15 	 CH3 	 CH3 	 4.365021412004047e-05 	 4.365021412004047e-05
76	 12 	 HN 	 NH 	 0.0012225129969452115 	 0.0012225129969452115
76	 22 	 CH4O 	 CH4O 	 0.000283979405991238 	 0.000283979405991238
76	 4 	 CO2 	 CO2 	 0.0064544204380173695 	 0.0064544204380173695
76	 11 	 NO2 	 NO2 	 0.005230128126139656 	 0.005230128126139656
76	 25 	 Li 	 Li 	 4.6163933902567596e-05 	 4.6163933902567596e-05
76	 1 	 N2 	 N2 	 2.973515246722314e-06 	 2.973515246722314e-06
76	 14 	 N2O 	 N2O 	 0.003981441731810889 	 0.003981441731810889
76	 21 	 HN2O 	 HON2 	 0.004907322212347678 	 0.004907322212347678
76	 9 	 Na2 	 Na2 	 1.7585771550827983e-05 	 1.7585771550827983e-05
76	 10 	 NO 	 NO 	 0.00011818020375532119 	 0.00011818020375532119
76	 0 	 H2 	 H2 	 5.340235578356627e-08 	 5.340235578356627e-08
76	 5 	 F2 	 F2 	 0.00025038194326699754 	 0.00025038194326699754
76	 17 	 H2O 	 OH2 	 0.00025345178170834586 	 0.00025345178170834586
76	 24 	 C 	 C 	 3.1817711065967036e-05 	 3.1817711065967036e-05
76	 13 	 O3 	 O3 	 0.004912321086128312 	 0.004912321086128312
76	 3 	 CHN 	 CNH 	 0.003384118800045762 	 0.003384118800045762
76	 18 	 H3N 	 NH3 	 0.0006852000457607514 	 0.0006852000457607514
76	 19 	 HO 	 OH 	 1.3397236576651677e-05 	 1.3397236576651677e-05
76	 16 	 CH2 	 CH2 	 0.0033406968527357403 	 0.0033406968527357403
76	 7 	 CO 	 OC 	 0.00033207974323038543 	 0.00033207974323038543
