#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
265	 0 	 H2 	 H2 	 1.518725062584016e-06 	 1.518725062584016e-06
265	 12 	 HN 	 NH 	 0.0009109681964252486 	 0.0009109681964252486
266	 19 	 HO 	 OH 	 1.1235746924172879e-05 	 1.1235746924172879e-05
266	 9 	 Na2 	 Na2 	 3.633216930121603e-07 	 3.633216930121603e-07
266	 8 	 HLi 	 LiH 	 1.9067937618860837e-06 	 1.9067937618860837e-06
266	 7 	 CO 	 OC 	 0.00041054884286240503 	 0.00041054884286240503
266	 12 	 HN 	 NH 	 0.000911056729096812 	 0.000911056729096812
266	 14 	 N2O 	 N2O 	 0.0033017278427443465 	 0.0033017278427443465
266	 11 	 NO2 	 NO2 	 0.004221092503737715 	 0.004221092503737715
266	 4 	 CO2 	 CO2 	 0.008021497756057563 	 0.008021497756057563
266	 6 	 C2H2 	 C2H2 	 0.00018382013330701973 	 0.00018382013330701973
266	 17 	 H2O 	 OH2 	 0.00022107551105352336 	 0.00022107551105352336
266	 23 	 HF2 	 HF2 	 0.0026184804502092907 	 0.0026184804502092907
266	 0 	 H2 	 H2 	 1.236130755065625e-06 	 1.236130755065625e-06
266	 24 	 C 	 C 	 2.6242392097107465e-05 	 2.6242392097107465e-05
266	 21 	 HN2O 	 HON2 	 0.003921577109006959 	 0.003921577109006959
266	 13 	 O3 	 O3 	 0.0034180713737048856 	 0.0034180713737048856
266	 25 	 Li 	 Li 	 3.340408217446198e-05 	 3.340408217446198e-05
266	 2 	 FLi 	 LiF 	 0.007289121627525581 	 0.007289121627525581
266	 3 	 CHN 	 CNH 	 0.003946182546743265 	 0.003946182546743265
266	 15 	 CH3 	 CH3 	 9.826835234349463e-07 	 9.826835234349463e-07
266	 1 	 N2 	 N2 	 1.0492253548900162e-06 	 1.0492253548900162e-06
266	 22 	 CH4O 	 CH4O 	 0.00023518088267731176 	 0.00023518088267731176
266	 20 	 CH 	 CH 	 7.358806441781238e-07 	 7.358806441781238e-07
266	 18 	 H3N 	 NH3 	 0.00039274440112142285 	 0.00039274440112142285
