AE loss	 20 	 7 	 Li 	 Li 	 9.352853456722496e-07
AE loss	 20 	 1 	 N2 	 N2 	 6.75730095407825e-05
AE loss	 20 	 10 	 CH4O 	 CH4O 	 6.117273958236431e-05
AE loss	 21 	 2 	 FLi 	 LiF 	 0.008241714166205309
AE loss	 21 	 4 	 C 	 C 	 7.81248280365706e-06
AE loss	 21 	 11 	 HF2 	 HF2 	 0.000951539799344533
AE loss	 21 	 9 	 HN2O 	 HON2 	 0.0009216461354002159
AE loss	 21 	 1 	 N2 	 N2 	 6.564236069581288e-05
AE loss	 21 	 6 	 H 	 H 	 1.492659289938301e-07
AE loss	 21 	 5 	 F 	 F 	 5.7833940442385636e-08
AE loss	 21 	 3 	 CHN 	 CNH 	 0.007086749221813547
AE loss	 21 	 10 	 CH4O 	 CH4O 	 6.129282021930203e-05
AE loss	 21 	 8 	 N 	 N 	 1.2832714506094009e-05
AE loss	 21 	 0 	 H2 	 H2 	 3.6945298838746492e-06
AE loss	 21 	 7 	 Li 	 Li 	 1.0748916054883105e-06
AE loss	 22 	 9 	 HN2O 	 HON2 	 0.0009247920199505776
AE loss	 22 	 8 	 N 	 N 	 1.3251655784401055e-05
AE loss	 22 	 2 	 FLi 	 LiF 	 0.008184800701477302
AE loss	 22 	 7 	 Li 	 Li 	 1.1408118589191739e-06
AE loss	 22 	 3 	 CHN 	 CNH 	 0.007009062598404147
AE loss	 22 	 6 	 H 	 H 	 1.6139844592714646e-07
AE loss	 22 	 11 	 HF2 	 HF2 	 0.0009605325959399645
AE loss	 22 	 4 	 C 	 C 	 8.003057978854571e-06
AE loss	 22 	 5 	 F 	 F 	 3.3135732990218487e-07
AE loss	 22 	 10 	 CH4O 	 CH4O 	 6.143064933655172e-05
AE loss	 22 	 1 	 N2 	 N2 	 6.0553323607462415e-05
AE loss	 22 	 0 	 H2 	 H2 	 4.733058565821021e-06
AE loss	 23 	 2 	 FLi 	 LiF 	 0.00812174518422706
AE loss	 23 	 9 	 HN2O 	 HON2 	 0.0009296200644263208
AE loss	 23 	 7 	 Li 	 Li 	 1.1388172120686749e-06
AE loss	 23 	 5 	 F 	 F 	 4.070878209539408e-07
AE loss	 23 	 11 	 HF2 	 HF2 	 0.0009666324911382683
AE loss	 23 	 10 	 CH4O 	 CH4O 	 6.174684371379698e-05
AE loss	 23 	 0 	 H2 	 H2 	 5.022189597870063e-06
AE loss	 23 	 8 	 N 	 N 	 1.4731907177323742e-05
AE loss	 23 	 1 	 N2 	 N2 	 5.8555964267945505e-05
AE loss	 23 	 6 	 H 	 H 	 1.8267286086192337e-07
AE loss	 23 	 3 	 CHN 	 CNH 	 0.006881385458221323
AE loss	 23 	 4 	 C 	 C 	 8.45149472115928e-06
AE loss	 24 	 8 	 N 	 N 	 1.4540638511332672e-05
AE loss	 24 	 2 	 FLi 	 LiF 	 0.008065753601916293
AE loss	 24 	 10 	 CH4O 	 CH4O 	 6.18506830754149e-05
AE loss	 24 	 4 	 C 	 C 	 7.873186344015006e-06
AE loss	 24 	 9 	 HN2O 	 HON2 	 0.0009338713823807532
AE loss	 24 	 3 	 CHN 	 CNH 	 0.006827021097041977
AE loss	 24 	 1 	 N2 	 N2 	 5.530965697394443e-05
AE loss	 24 	 7 	 Li 	 Li 	 1.35022837477228e-06
AE loss	 24 	 0 	 H2 	 H2 	 6.347490680508054e-06
AE loss	 24 	 5 	 F 	 F 	 1.38733529112215e-07
AE loss	 24 	 11 	 HF2 	 HF2 	 0.0009757154491033023
AE loss	 24 	 6 	 H 	 H 	 2.0452728614363637e-07
AE loss	 25 	 5 	 F 	 F 	 3.1722701253038006e-07
AE loss	 25 	 2 	 FLi 	 LiF 	 0.00801772313827411
AE loss	 25 	 10 	 CH4O 	 CH4O 	 6.198562566272565e-05
AE loss	 25 	 8 	 N 	 N 	 1.4947765393482774e-05
AE loss	 25 	 0 	 H2 	 H2 	 6.953497451383374e-06
AE loss	 25 	 6 	 H 	 H 	 2.0920432769152267e-07
AE loss	 25 	 4 	 C 	 C 	 8.089505703210236e-06
AE loss	 25 	 1 	 N2 	 N2 	 5.301288321374422e-05
AE loss	 25 	 9 	 HN2O 	 HON2 	 0.0009392826372369615
AE loss	 25 	 3 	 CHN 	 CNH 	 0.006701502045079284
AE loss	 25 	 7 	 Li 	 Li 	 1.42421917257423e-06
AE loss	 25 	 11 	 HF2 	 HF2 	 0.0009806566189573586
AE loss	 26 	 0 	 H2 	 H2 	 7.65624083421705e-06
AE loss	 26 	 9 	 HN2O 	 HON2 	 0.0009428803818675115
AE loss	 26 	 6 	 H 	 H 	 2.2074901944339835e-07
AE loss	 26 	 7 	 Li 	 Li 	 1.3341965251380268e-06
AE loss	 26 	 8 	 N 	 N 	 1.5990336858309097e-05
AE loss	 26 	 4 	 C 	 C 	 9.058711677938186e-06
AE loss	 26 	 2 	 FLi 	 LiF 	 0.007947838936101029
AE loss	 26 	 5 	 F 	 F 	 3.313773988467068e-07
AE loss	 26 	 10 	 CH4O 	 CH4O 	 6.223246950306445e-05
AE loss	 26 	 11 	 HF2 	 HF2 	 0.000985926872056137
AE loss	 26 	 1 	 N2 	 N2 	 4.945448021546717e-05
AE loss	 26 	 3 	 CHN 	 CNH 	 0.006616040654660581
AE loss	 27 	 3 	 CHN 	 CNH 	 0.0066030538636647
AE loss	 27 	 6 	 H 	 H 	 2.3433132710432373e-07
AE loss	 27 	 0 	 H2 	 H2 	 9.154527692647351e-06
AE loss	 27 	 2 	 FLi 	 LiF 	 0.007906138207245839
AE loss	 27 	 4 	 C 	 C 	 1.0441523956779635e-05
AE loss	 27 	 5 	 F 	 F 	 1.796240715273462e-06
AE loss	 27 	 11 	 HF2 	 HF2 	 0.0009994945266010142
AE loss	 27 	 1 	 N2 	 N2 	 4.710997514001121e-05
AE loss	 27 	 10 	 CH4O 	 CH4O 	 6.271697004409205e-05
AE loss	 27 	 9 	 HN2O 	 HON2 	 0.0009569768389370006
AE loss	 27 	 7 	 Li 	 Li 	 1.2904340558440753e-06
AE loss	 27 	 8 	 N 	 N 	 2.0831481454270505e-05
AE loss	 28 	 11 	 HF2 	 HF2 	 0.0010036369853056142
AE loss	 28 	 9 	 HN2O 	 HON2 	 0.0009576455657252486
AE loss	 28 	 8 	 N 	 N 	 1.950041143872607e-05
AE loss	 28 	 4 	 C 	 C 	 1.0282219446010655e-05
AE loss	 28 	 1 	 N2 	 N2 	 4.5099782114752204e-05
AE loss	 28 	 7 	 Li 	 Li 	 1.6755568808265317e-06
AE loss	 28 	 10 	 CH4O 	 CH4O 	 6.232897255044979e-05
AE loss	 28 	 2 	 FLi 	 LiF 	 0.007838075700800912
AE loss	 28 	 5 	 F 	 F 	 7.288157646861261e-08
AE loss	 28 	 3 	 CHN 	 CNH 	 0.006427217763993137
AE loss	 28 	 6 	 H 	 H 	 2.5939999193445265e-07
AE loss	 28 	 0 	 H2 	 H2 	 1.211085801026119e-05
AE loss	 29 	 5 	 F 	 F 	 7.943692619098901e-08
AE loss	 29 	 8 	 N 	 N 	 1.4579594309797075e-05
AE loss	 29 	 2 	 FLi 	 LiF 	 0.007782250909780059
AE loss	 29 	 6 	 H 	 H 	 2.683205195663681e-07
AE loss	 29 	 10 	 CH4O 	 CH4O 	 6.231337751653542e-05
AE loss	 29 	 4 	 C 	 C 	 7.536526624083251e-06
AE loss	 29 	 9 	 HN2O 	 HON2 	 0.0009513360274286195
AE loss	 29 	 11 	 HF2 	 HF2 	 0.001000451511092344
AE loss	 29 	 7 	 Li 	 Li 	 2.088734060098937e-06
AE loss	 29 	 0 	 H2 	 H2 	 1.3382910316697409e-05
AE loss	 29 	 1 	 N2 	 N2 	 4.081793883105992e-05
AE loss	 29 	 3 	 CHN 	 CNH 	 0.006343062814184397
AE loss	 30 	 10 	 CH4O 	 CH4O 	 6.234101924576875e-05
AE loss	 30 	 4 	 C 	 C 	 7.470620981104055e-06
AE loss	 30 	 11 	 HF2 	 HF2 	 0.0010045723749852666
AE loss	 30 	 7 	 Li 	 Li 	 2.0089724387625714e-06
AE loss	 30 	 2 	 FLi 	 LiF 	 0.007712721958087235
AE loss	 30 	 5 	 F 	 F 	 6.248600675645497e-08
AE loss	 30 	 9 	 HN2O 	 HON2 	 0.0009587019417276728
AE loss	 30 	 3 	 CHN 	 CNH 	 0.006275277873793511
AE loss	 30 	 0 	 H2 	 H2 	 1.4923982651273071e-05
AE loss	 30 	 6 	 H 	 H 	 3.0594051916244935e-07
AE loss	 30 	 1 	 N2 	 N2 	 3.8121143926692995e-05
AE loss	 30 	 8 	 N 	 N 	 1.9491378891775766e-05
AE loss	 31 	 8 	 N 	 N 	 1.973438268509288e-05
AE loss	 31 	 3 	 CHN 	 CNH 	 0.006208686479723777
AE loss	 31 	 10 	 CH4O 	 CH4O 	 6.302679528927565e-05
AE loss	 31 	 1 	 N2 	 N2 	 3.770936281697705e-05
AE loss	 31 	 4 	 C 	 C 	 1.0995195122847474e-05
AE loss	 31 	 0 	 H2 	 H2 	 1.7373019856562803e-05
AE loss	 31 	 9 	 HN2O 	 HON2 	 0.0009691813033662169
AE loss	 31 	 5 	 F 	 F 	 1.6358245973657753e-06
AE loss	 31 	 11 	 HF2 	 HF2 	 0.0010253639042245779
AE loss	 31 	 2 	 FLi 	 LiF 	 0.007648138946335511
AE loss	 31 	 7 	 Li 	 Li 	 2.0225905910942195e-06
AE loss	 31 	 6 	 H 	 H 	 3.3018136238253043e-07
AE loss	 32 	 10 	 CH4O 	 CH4O 	 6.302735752982582e-05
AE loss	 32 	 4 	 C 	 C 	 1.058317745252718e-05
AE loss	 32 	 5 	 F 	 F 	 1.155412221678183e-06
AE loss	 32 	 7 	 Li 	 Li 	 2.09678656568408e-06
AE loss	 32 	 2 	 FLi 	 LiF 	 0.007622817985833688
AE loss	 32 	 0 	 H2 	 H2 	 1.9321867320230213e-05
AE loss	 32 	 3 	 CHN 	 CNH 	 0.006084169852270561
AE loss	 32 	 9 	 HN2O 	 HON2 	 0.0009721255207156112
AE loss	 32 	 6 	 H 	 H 	 3.4534038890189794e-07
AE loss	 32 	 11 	 HF2 	 HF2 	 0.001029355466194015
AE loss	 32 	 8 	 N 	 N 	 2.0577224601440795e-05
AE loss	 32 	 1 	 N2 	 N2 	 3.319850978130241e-05
AE loss	 33 	 0 	 H2 	 H2 	 2.0719341703789453e-05
AE loss	 33 	 6 	 H 	 H 	 3.592301426521542e-07
