AE loss	 20 	 8 	 N 	 N 	 9.464854460886424e-06
AE loss	 20 	 4 	 C 	 C 	 5.495540570859175e-06
AE loss	 20 	 7 	 Li 	 Li 	 1.2034984948441647e-06
AE loss	 20 	 2 	 FLi 	 LiF 	 0.008477097395299667
AE loss	 20 	 0 	 H2 	 H2 	 9.830530068940746e-07
AE loss	 20 	 6 	 H 	 H 	 6.827844837116765e-08
AE loss	 20 	 5 	 F 	 F 	 2.230568318952329e-07
AE loss	 20 	 3 	 CHN 	 CNH 	 0.007460750600284618
AE loss	 21 	 6 	 H 	 H 	 6.930971215469682e-08
AE loss	 21 	 8 	 N 	 N 	 7.975968594964008e-06
AE loss	 21 	 3 	 CHN 	 CNH 	 0.007430075960185324
AE loss	 21 	 0 	 H2 	 H2 	 1.1846994642092494e-06
AE loss	 21 	 4 	 C 	 C 	 5.259083047578241e-06
AE loss	 21 	 1 	 N2 	 N2 	 8.149488844280712e-05
AE loss	 21 	 2 	 FLi 	 LiF 	 0.0084258431156591
AE loss	 21 	 5 	 F 	 F 	 1.1690599841856713e-10
AE loss	 21 	 7 	 Li 	 Li 	 1.311236337588953e-06
